,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4587309.809673,0.202884,384500557.0,22610487.0,22610487.0,183501058.0,176900810.0,1935402801.0,407111044.0,230210234.0,2479517.0,3970.0,2483487.0,165477880.809673,183501058.0,2141282868.0,258994795.0,227726747.0,476151466.0,476151466.0,0.384375,0.384375,183501058.0,183501058.0,183501058.0,183501058.0,183501058.0,46705206.0,230206264.0,22610487.0,,22610487.0,22610487.0,,2479517.0,3970.0,2483487.0,205116260.0,205880067.0,-8630889.0,214510956.0,214510956.0,214510956.0,410996327.0,1935402801.0,2346399128.0,2346399128.0
2022-12-31,11585715.535736,0.202396,301004666.0,57242934.0,57242934.0,168771185.0,146649865.0,1855919939.0,358247600.0,211597735.0,828839.0,136.0,828975.0,123113966.535736,168771185.0,2085647169.0,216955621.0,210768760.0,476151466.0,476151466.0,0.35625,0.35625,168771185.0,168771185.0,168771185.0,168771185.0,168771185.0,42826414.0,211597599.0,57242934.0,,57242934.0,57242934.0,,828839.0,136.0,828975.0,153525826.0,229727230.0,-16817100.0,246544330.0,246544330.0,246544330.0,383253056.0,1855919939.0,2239172995.0,2239172995.0
2021-12-31,3302687.128714,0.201692,332047794.0,16374905.0,16374905.0,168263848.0,137643977.0,1693985805.0,348422699.0,210778722.0,668773.0,3125.0,671898.0,155191630.128714,168263848.0,1892367929.0,187636815.0,210106824.0,476160000.0,476160000.0,0.353377,0.353377,168263848.0,168263848.0,168263848.0,168263848.0,168263848.0,42511749.0,210775597.0,16374905.0,,16374905.0,16374905.0,,668773.0,3125.0,671898.0,193731919.0,198382124.0,-4288066.0,202670190.0,202670190.0,202670190.0,392114043.0,1693985805.0,2086099848.0,2086099848.0
2020-12-31,5345444.824163,0.219606,290770130.0,24341031.0,24341031.0,139554459.0,130788286.0,1663313943.0,315111161.0,184322875.0,-5170279.0,5497153.0,326874.0,120558872.824163,139554459.0,1876101356.0,189257761.0,183996001.0,445117691.0,445117691.0,0.3125,0.3125,139554459.0,139554459.0,139554459.0,139554459.0,139554459.0,39271263.0,178825722.0,24341031.0,,24341031.0,24341031.0,,-5170279.0,5497153.0,326874.0,159654970.0,212787413.0,-2733679.0,215521092.0,215521092.0,215521092.0,372442383.0,1663313943.0,2035756326.0,2035756326.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6028135.0,,,1800000.0,,,,,,,,,,,,,
