,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-2311698.830558,0.121186,511154143.0,-19075636.0,-19075636.0,357383898.0,80918946.0,2932663271.0,492078507.0,411159561.0,-3642817.0,4493449.0,850632.0,374147835.169442,357383898.0,3274733528.0,,773996910.0,773996910.0,0.458333,0.458333,357383898.0,357383898.0,357383898.0,0.0,357383898.0,357383898.0,49282214.0,406666112.0,-11505963.0,7569673.0,-19075636.0,-3642817.0,4493449.0,850632.0,421814892.0,342070257.0,-1134346.0,343204603.0,242649779.0,100554824.0,100554824.0,763885149.0,2932663271.0,3696548420.0,3696548420.0
2022-12-31,-7626812.807567,0.167905,276406966.0,-45423300.0,-45423300.0,125123463.0,77853495.0,2459589273.0,230983666.0,153130171.0,-2393997.0,2758509.0,364512.0,162919950.192433,125123463.0,2749691327.0,11959453.0,773996910.0,773996910.0,0.158333,0.158333,125123463.0,125123463.0,125123463.0,0.0,125123463.0,125123463.0,25248199.0,150371662.0,-37728009.0,7695291.0,-45423300.0,-2393997.0,2758509.0,364512.0,190493668.0,290102054.0,-1169571.0,291271625.0,203519298.0,87752327.0,87752327.0,480595722.0,2459589273.0,2940184995.0,2940184995.0
2021-12-31,-5243407.106475,0.136564,358455386.0,-38395331.0,-38395331.0,208815317.0,76279484.0,2443275036.0,320060055.0,243780571.0,-1800341.0,1938401.0,138060.0,241967240.893525,208815317.0,2704419566.0,17257836.0,773996910.0,773996910.0,0.266667,0.266667,208815317.0,208815317.0,208815317.0,0.0,208815317.0,208815317.0,33026853.0,241842170.0,-32557445.0,5837886.0,-38395331.0,-1800341.0,1938401.0,138060.0,276199956.0,261144530.0,-1181321.0,262325851.0,189124590.0,73201261.0,73201261.0,537344486.0,2443275036.0,2980619522.0,2980619522.0
2020-12-31,1100763.666251,0.089398,273737078.0,12313099.0,12313099.0,192912193.0,72426399.0,2188452990.0,286050177.0,213623778.0,-1312583.0,1772557.0,459974.0,181699857.666251,192912193.0,2415559551.0,12493690.0,773996910.0,773996910.0,0.25,0.25,192912193.0,192912193.0,192912193.0,0.0,192912193.0,192912193.0,18939028.0,211851221.0,18133833.0,5820734.0,12313099.0,-1312583.0,1772557.0,459974.0,195029971.0,227106561.0,-897761.0,228004322.0,162724166.0,65280156.0,65280156.0,422136532.0,2188452990.0,2610589522.0,2610589522.0
2019-12-31,,,,,,,,,,,,,,,,,26440146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
