,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,23468460.132453,0.189077,2061249328.0,124121000.0,124121000.0,585280002.0,897256697.0,26317024063.0,2185370328.0,1288113631.0,-543806000.0,566359000.0,7403000.0,484627462.132453,585280002.0,30128390951.0,1265560731.0,3229171772.0,3229171772.0,0.181251,0.181251,585280002.0,585280002.0,585280002.0,-7232.0,585287234.0,585287234.0,136467397.0,721754631.0,175806087.0,51685087.0,88420000.0,,-88420000.0,,35701000.0,-543806000.0,-15150000.0,566359000.0,7403000.0,1089754271.0,3811366888.0,-176364000.0,3987730888.0,3120976301.0,866754587.0,866754587.0,4901121159.0,26317024063.0,31218145222.0,31218145222.0
2022-12-31,8312373.32156,0.190979,2047875307.0,43525000.0,43525000.0,774068583.0,784308321.0,26433695428.0,2091400307.0,1307091986.0,-333206000.0,350295000.0,7476000.0,738855956.32156,774068583.0,30035162095.0,1290003298.0,3229154000.0,3228708636.0,0.239714,0.239743,774068583.0,774068583.0,774068583.0,0.0,774068583.0,774068583.0,182728403.0,956796986.0,4538669.0,-38986331.0,4301000.0,0.0,-4301000.0,,39224000.0,-333206000.0,-9613000.0,350295000.0,7476000.0,1285464140.0,3601466667.0,-126832000.0,3728298667.0,2866187424.0,862111243.0,862111243.0,4886930807.0,26433695428.0,31320626235.0,31320626235.0
2021-12-31,1653745.501297,0.197533,3104952077.0,8372000.0,8372000.0,1818062794.0,589755313.0,20578013823.0,3113324077.0,2523568764.0,-238630052.0,257977052.0,6925000.0,1811344539.501297,1818062794.0,23327743094.0,2504221839.0,3183991866.0,3183671957.0,0.571005,0.571059,1818062794.0,1818062794.0,1818062794.0,0.0,1818062794.0,1818062794.0,447528918.0,2265591712.0,47362000.0,38990000.0,3970000.0,3970000.0,,,4402000.0,-238630052.0,-12422000.0,257977052.0,6925000.0,2456859456.0,2749729271.0,-85816000.0,2835545271.0,2171952340.0,663592931.0,663592931.0,5206588727.0,20578013823.0,25784602550.0,25784602550.0
2020-12-31,3127771.859796,0.196086,1636142798.0,15951000.0,15951000.0,726680198.0,503030797.0,15737298353.0,1652093798.0,1149063001.0,-223993421.0,245134933.0,21141512.0,713856969.859796,726680198.0,17669158056.0,1127921489.0,3127078039.0,3127078039.0,0.232386,0.232386,726680198.0,726680198.0,726680198.0,0.0,726680198.0,726680198.0,177247870.0,903928068.0,71747000.0,55796000.0,4346000.0,4261000.0,,-85000.0,11605000.0,-223993421.0,,245134933.0,21141512.0,1057504080.0,1931859703.0,-55218000.0,1987077703.0,1544659591.0,442418112.0,442418112.0,2989363783.0,15737298353.0,18726662136.0,18726662136.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250771.0,,3187107.0,,,,,,,,,,,,,,,,
