,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-2950216.185,0.105,2179043501.0,-28097297.0,-28097297.0,152688790.0,1674075357.0,17516348753.0,2150946204.0,476870847.0,54817984.0,306204916.0,361022900.0,177835870.815,152688790.0,19712761098.0,115847947.0,2865180000.0,2865180000.0,0.05,0.05,152688790.0,152688790.0,152688790.0,,152688790.0,152688790.0,17977141.0,170665931.0,130618412.0,158715709.0,5914000.0,,,-34011297.0,54817984.0,,306204916.0,361022900.0,-47585693.0,2196412345.0,-20719139.0,,,,2217131484.0,948331548.0,1268799936.0,1268799936.0,,2148826652.0,17516348753.0,19665175405.0,19665175405.0
2022-12-31,-17886189.525,0.123,3665303071.0,-145416175.0,-145416175.0,1652051500.0,1449549895.0,19048019604.0,3519886896.0,2070337001.0,-25959015.0,186806428.0,160847413.0,1779581485.475,1652051500.0,21423301156.0,1909489588.0,2864512000.0,2864208000.0,0.58,0.58,1652051500.0,1652051500.0,1652051500.0,,1652051500.0,1652051500.0,231479073.0,1883530573.0,-6520937.0,138895238.0,6481000.0,1093000.0,-5388000.0,-151897175.0,-25959015.0,,186806428.0,160847413.0,1881518527.0,2375281552.0,-25797288.0,,,,2401078840.0,1332515853.0,1068562987.0,1068562987.0,,4256800079.0,19048019604.0,23304819683.0,23304819683.0
2021-12-31,-40039795.92237,0.083955,27728057455.0,-476921802.0,-476921802.0,23704162049.0,1247158150.0,19291762237.0,27251135653.0,26003977503.0,-20811298.0,127352872.0,106541574.0,24141044055.07763,23704162049.0,21414469179.0,25897435929.0,2861150000.0,2860231000.0,8.28,8.29,23704162049.0,23704162049.0,23704162049.0,0.0,23704162049.0,23704162049.0,2172462582.0,25876624631.0,-238865802.0,238056000.0,-5752000.0,-10104000.0,-4352000.0,-471169802.0,-20811298.0,,127352872.0,106541574.0,26136302060.0,2122706942.0,-120081000.0,,,,2242787942.0,1376214658.0,866573284.0,866573284.0,,28259009002.0,19291762237.0,47550771239.0,47550771239.0
2020-12-31,11361491.563,0.097,17082977623.0,117128779.0,117128779.0,14400868953.0,1092471030.0,13665358865.0,17200106402.0,16107635372.0,-103619586.0,143212537.0,39592951.0,14295101665.563,14400868953.0,14776908417.0,16068042421.0,2426638000.0,2425973000.0,5.93,5.94,14400868953.0,14400868953.0,14400868953.0,-14851105.0,14415720058.0,14415720058.0,1548702777.0,15964422835.0,292573779.0,175445000.0,12000000.0,-6231000.0,-18231000.0,105128779.0,-103619586.0,,143212537.0,39592951.0,15775468689.0,1111549552.0,-53389000.0,,,,1164938552.0,607949993.0,556988559.0,556988559.0,,16887018241.0,13665358865.0,30552377106.0,30552377106.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,20388028.0,,,,,,,,-2514000.0,-24156000.0,,,11910000.0,,,,,,-12562000.0,14250000.0,14250000.0,,,,,157490000.0,,,,
