,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-4599892.44,0.22,110273427.0,-20908602.0,-20908602.0,21603262.0,47651876.0,624338179.0,89364825.0,41712949.0,-14018069.0,14009111.0,37911971.56,21603262.0,816183770.0,,695316164.0,695316164.0,0.03,0.03,21603262.0,21603262.0,21603262.0,21603262.0,21603262.0,6100576.0,27703838.0,-32065831.0,12527081.0,-22310967.0,-7292.0,22318259.0,,-23684310.0,1402365.0,-14018069.0,8958.0,14009111.0,73787738.0,191845591.0,191845591.0,127241023.0,64604568.0,64604568.0,265633329.0,624338179.0,889971508.0,889971508.0
2022-12-31,765176.94,0.11,127374904.0,6956154.0,6956154.0,74518056.0,40080396.0,657483700.0,134331058.0,94250662.0,-10825550.0,10811419.0,68327078.94,74518056.0,817046990.0,5312000.0,888000000.0,888000000.0,0.083917,0.083917,74518056.0,74518056.0,74518056.0,74518056.0,74518056.0,8921187.0,83439243.0,14157323.0,16198600.0,0.0,,0.0,0.0,-8997431.0,6956154.0,-10825550.0,14131.0,10811419.0,80107470.0,159563290.0,159563290.0,110264803.0,49298487.0,49298487.0,239670760.0,657483700.0,897154460.0,897154460.0
2021-12-31,2803600.203985,0.195833,148071594.0,14316267.0,14316267.0,99276561.0,29446083.0,563092404.0,162387861.0,132941778.0,-9497304.0,9489082.0,87763894.203985,99276561.0,716880086.0,6177350.0,888000000.0,888000000.0,0.111798,0.111798,99276561.0,99276561.0,99276561.0,99276561.0,99276561.0,24176135.0,123452696.0,39367123.0,25050856.0,-380413.0,-17569.0,,397982.0,0.0,14696680.0,-9497304.0,8222.0,9489082.0,93582877.0,153787682.0,153787682.0,104871304.0,48916378.0,48916378.0,247370559.0,563092404.0,810462963.0,810462963.0
