,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,310400.0,0.2,-61808000.0,1552000.0,1552000.0,-71470000.0,17376000.0,120914000.0,-60256000.0,-77632000.0,-615000.0,1718000.0,1103000.0,-72711600.0,-71470000.0,224764000.0,-76639000.0,1343056000.0,1343056000.0,-0.05,-0.05,-71470000.0,-71470000.0,-71470000.0,10294000.0,-81764000.0,0.0,-81764000.0,2414000.0,-79350000.0,2597000.0,,1552000.0,,1552000.0,0.0,1045000.0,,-615000.0,,1718000.0,1103000.0,-81332000.0,103850000.0,-7834000.0,4693000.0,106991000.0,735000.0,106256000.0,106256000.0,22518000.0,120914000.0,143432000.0,143432000.0
2022-12-31,947434.587866,0.003839,-66620000.0,246778000.0,246778000.0,161805000.0,21124000.0,38576000.0,180158000.0,159034000.0,-3594000.0,4315000.0,721000.0,-84025565.412134,169517000.0,126856000.0,-85019000.0,1343056000.0,1343056000.0,0.13,0.13,169517000.0,169517000.0,169517000.0,7680000.0,161837000.0,7712000.0,154125000.0,594000.0,154719000.0,245533000.0,3039000.0,246778000.0,,246778000.0,0.0,-1245000.0,246778000.0,-3594000.0,,4315000.0,721000.0,-87220000.0,88280000.0,-3039000.0,2201000.0,89118000.0,-137000.0,89255000.0,89255000.0,1060000.0,38576000.0,39636000.0,39636000.0
2021-12-31,0.0,0.2,-6014000.0,0.0,0.0,-68640000.0,47887000.0,19676000.0,-6014000.0,-53901000.0,-15477000.0,15633000.0,156000.0,-68640000.0,-76235000.0,81969000.0,-55142000.0,1343056000.0,1343056000.0,-0.06,-0.06,-76235000.0,-76235000.0,-76235000.0,1994000.0,-78228000.0,-7595000.0,-70633000.0,1099000.0,-69534000.0,1085000.0,3435583.0,0.0,,0.0,0.0,1085000.0,,-15477000.0,,15633000.0,156000.0,-55142000.0,62293000.0,,,62293000.0,4042000.0,58251000.0,58251000.0,7151000.0,19676000.0,26827000.0,26827000.0
2020-12-31,-2922036.8,0.2,50027777.0,-14610184.0,-14610184.0,-39073071.0,46668382.0,51746049.0,35417593.0,-11250789.0,-19378446.0,19606181.0,227735.0,-27384923.8,-66924823.0,134332453.0,3677135.0,1343055623.0,1343055623.0,-0.05,-0.05,-66924823.0,-66924823.0,-66924823.0,1139602.0,-68064425.0,-27851752.0,-40212673.0,9355703.0,-30856970.0,-11161271.0,4495054.0,-14610184.0,,,14610184.0,-1046141.0,,-19378446.0,,19606181.0,227735.0,-317253.0,82586404.0,,,82586404.0,6039919.0,76546485.0,76546485.0,82269151.0,51746049.0,134015200.0,134015200.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67477552.0,,9646311.0,,,,,,7753453.0,,,,,,,,,,,,,,
