,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,10192000.0,0.16,740890265.0,63700000.0,63700000.0,264627018.0,454099665.0,1273045524.0,804590265.0,350490600.0,-37226196.0,37226196.0,211119018.0,264627018.0,1653816736.0,4177000.0,350490600.0,433655000.0,433655000.0,0.61,0.61,264627018.0,264627018.0,264627018.0,264627018.0,264627018.0,48637386.0,313264404.0,63700000.0,,63700000.0,63700000.0,0.0,-37226196.0,,37226196.0,286790600.0,380771212.0,-12097342.0,392868554.0,121171153.0,271697401.0,271697401.0,667561812.0,1273045524.0,1940607336.0,1940607336.0
2022-12-31,0.0,0.22,674845889.0,0.0,0.0,162081206.0,432156372.0,1078421432.0,674845889.0,242689517.0,-35618352.0,35618352.0,162081206.0,162081206.0,1439224888.0,15006000.0,248977052.0,433655000.0,433655000.0,0.37,0.37,162081206.0,162081206.0,162081206.0,162081206.0,162081206.0,44989959.0,207071165.0,-6287535.0,,0.0,0.0,-6287535.0,-35618352.0,,35618352.0,248977052.0,360803456.0,-10807226.0,371610682.0,113769952.0,257840730.0,257840730.0,609780508.0,1078421432.0,1688201940.0,1688201940.0
2021-12-31,0.0,0.26,660964832.0,,,128664067.0,439518228.0,959672620.0,660964832.0,221446604.0,-47131896.0,47131896.0,128664067.0,128664067.0,1210640031.0,,256152209.0,433655000.0,433655000.0,0.3,0.3,128664067.0,128664067.0,128664067.0,128664067.0,128664067.0,45650641.0,174314708.0,-34705605.0,,,,-34705605.0,-47131896.0,,47131896.0,256152209.0,250967411.0,-58386807.0,309354218.0,92265449.0,217088769.0,217088769.0,507119620.0,959672620.0,1466792240.0,1466792240.0
2020-12-31,0.0,0.2,627596046.0,,,95236349.0,452251330.0,839923390.0,627596046.0,175344716.0,-56746946.0,56746946.0,95236349.0,95236349.0,1119876687.0,,183351576.0,433655000.0,433655000.0,0.22,0.22,95236349.0,95236349.0,95236349.0,95236349.0,95236349.0,23361421.0,118597770.0,-8006860.0,,,,-8006860.0,-56746946.0,,56746946.0,183351576.0,279953297.0,-18311472.0,298264769.0,84327467.0,213937302.0,213937302.0,463304873.0,839923390.0,1303228263.0,1303228263.0
2019-12-31,,,,,,,,,,,,,,,,75554000.0,,,,,,,,,,,,,,16529806.0,,,,,3125000.0,,,,,,,,,,,,
