,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,9752800.0,0.2,804575000.0,48764000.0,48764000.0,-569820000.0,900694000.0,2978370000.0,853339000.0,-47355000.0,-496701000.0,523893000.0,27192000.0,-608831200.0,-569820000.0,5576039000.0,219492000.0,-95848000.0,845285000.0,845285000.0,-0.82,-0.82,-569820000.0,-569820000.0,-569820000.0,14246000.0,-584066000.0,-584066000.0,12818000.0,-571248000.0,124723000.0,27466000.0,0.0,0.0,0.0,,,48493000.0,48764000.0,-496701000.0,523893000.0,27192000.0,-199270000.0,1963216000.0,-881649000.0,266241000.0,266241000.0,,2578624000.0,491915000.0,2086709000.0,2086709000.0,,1763946000.0,3612823000.0,5376769000.0,5376769000.0
2022-12-31,8971034.224985,0.027771,541182000.0,323033000.0,323033000.0,-501462000.0,934442000.0,2208357000.0,864215000.0,-70227000.0,-480842000.0,492549000.0,11707000.0,-815523965.775015,-501462000.0,4549175000.0,109086000.0,-96014000.0,845285000.0,845285000.0,-0.65,-0.65,-501462000.0,-501462000.0,-501462000.0,45685000.0,-547147000.0,-547147000.0,-15629000.0,-562776000.0,374423000.0,25603000.0,223705000.0,92895000.0,130810000.0,0.0,,25787000.0,99328000.0,-480842000.0,492549000.0,11707000.0,-456357000.0,1698160000.0,-617993000.0,291784000.0,291784000.0,,2024369000.0,331750000.0,1692619000.0,1692619000.0,,1241803000.0,2851015000.0,4092818000.0,4092818000.0
2021-12-31,132181000.0,0.2,-251688000.0,660905000.0,660905000.0,-944997000.0,940241000.0,1390246000.0,409217000.0,-531024000.0,-459271000.0,469266000.0,9995000.0,-1473721000.0,-944997000.0,3437452000.0,144941000.0,-546759000.0,845285000.0,845285000.0,-1.12,-1.12,-944997000.0,-944997000.0,-944997000.0,78976000.0,-1023973000.0,-1023973000.0,23683000.0,-1000290000.0,702073000.0,25433000.0,449587000.0,303798000.0,251424000.0,105635000.0,0.0,15735000.0,211318000.0,-459271000.0,469266000.0,9995000.0,-1243092000.0,1393634000.0,-431090000.0,286669000.0,286669000.0,286669000.0,1538055000.0,214805000.0,1323250000.0,1323250000.0,,150542000.0,2043818000.0,2194360000.0,2194360000.0
2020-12-31,266954.910195,0.000596,-225715000.0,448219000.0,448219000.0,-1011135000.0,852580000.0,1473603000.0,222504000.0,-630076000.0,-404339000.0,420982000.0,16643000.0,-1459087045.089805,-1011135000.0,3453050000.0,56455000.0,-690662000.0,845285000.0,845285000.0,-1.2,-1.2,-1011135000.0,-1011135000.0,-1011135000.0,39297000.0,-1050432000.0,-1050432000.0,-626000.0,-1051058000.0,534238000.0,25433000.0,73524000.0,4601000.0,23220000.0,0.0,-45703000.0,60586000.0,374695000.0,-404339000.0,420982000.0,16643000.0,-1180957000.0,1314628000.0,-497226000.0,187761000.0,187761000.0,187761000.0,1624093000.0,219773000.0,1404320000.0,1404320000.0,1063086724.0,133671000.0,2138422000.0,2272093000.0,2272093000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,89465126.0,,,,,1132724390.0,,,,
