,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2066,1200889874.87,192689895.97,874046339.29,1665395215.82,1200889874.87,326843535.58,-83508006.85,83987317.22,479310.37,192689895.97,192689895.97,1840230879.82,1157190078.48,326843535.58,250000000.0,250000000.0,0.77,0.77,192689895.97,192689895.97,192689895.97,192689895.97,192689895.97,50166322.39,242856218.36,60120804.77,60120804.77,-83508006.85,83987317.22,479310.37,266243420.44,174835664.0,-4969573.98,179805237.98,66351988.18,113453249.8,92610659.27,20842590.53,441079084.44,1665395215.82,2106474300.26,2106474300.26
2022-12-31,0.0,0.2118,1196001280.35,183226483.04,885827968.61,1791694378.44,1196001280.35,310173311.74,-77570298.18,77696839.07,126540.89,183226483.04,183226483.04,1965436273.98,1162920290.72,310173311.74,250000000.0,250000000.0,0.73,0.73,183226483.04,183226483.04,183226483.04,183226483.04,183226483.04,49249989.63,232476472.67,54907709.05,54907709.05,-77570298.18,77696839.07,126540.89,255139061.8,173741895.54,-4576665.29,178318560.83,57967520.81,120351040.02,98473078.73,21877961.29,428880957.34,1791694378.44,2220575335.78,2220575335.78
2021-12-31,0.0,0.1124,1228095583.16,226113336.18,892527129.88,1714901896.12,1228095583.16,335568453.28,-80683510.76,80821758.13,138247.37,226113336.18,226113336.18,1865573315.83,1135828600.42,335568453.28,250000000.0,250000000.0,0.9,0.9,226113336.18,226113336.18,226113336.18,226113336.18,226113336.18,28633358.97,254746695.15,70420969.9,70420969.9,-80683510.76,80821758.13,138247.37,265009236.01,150671419.71,-4538766.4,155210186.11,53976246.92,101233939.19,79220979.78,22012959.41,415680655.72,1714901896.12,2130582551.84,2130582551.84
2020-12-31,0.0,0.2,1164591893.86,221246555.61,891343670.55,1736226970.9,1164591893.86,273248223.31,-89919737.83,90303052.0,383314.17,221246555.61,221246555.61,1914815991.27,1145475565.34,273248223.31,250000000.0,250000000.0,0.88,0.88,221246555.61,221246555.61,221246555.61,221246555.61,221246555.61,-38301384.3,182945171.31,75359541.99,75359541.99,-89919737.83,90303052.0,383314.17,197505367.15,178589020.37,-5338032.67,183927053.04,53970868.53,129956184.51,107192285.12,22763899.39,376094387.52,1736226970.9,2112321358.42,2112321358.42
