,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2255,494175209.43,152296330.14,239026349.7,2784582357.47,494175209.43,255148859.73,-58506549.57,58506549.57,152296330.14,152296330.14,3224272472.52,255148859.73,668976845.0,616454938.0,0.228,0.247,152296330.14,152296330.14,152296330.14,152296330.14,152296330.14,44345980.02,196642310.16,,,-58506549.57,58506549.57,255148859.73,439690115.05,-1004348.18,440694463.23,97096061.34,343598401.89,343598401.89,694838974.78,2784582357.47,3479421332.25,3456004669.9
2022-12-31,0.0,0.2412,400563734.04,83532563.1,240267652.16,2797458956.22,400563734.04,160296081.88,-50207466.21,50207466.21,83532563.1,83532563.1,3200489972.98,160296081.88,666568459.0,603877312.0,0.125,0.138,83532563.1,83532563.1,83532563.1,83532563.1,83532563.1,26556052.57,110088615.67,,,-50207466.21,50207466.21,160296081.88,403031016.76,1669333.29,401361683.47,93788033.47,307573650.0,307573650.0,563327098.64,2797458956.22,3360786054.86,3339030275.23
2021-12-31,0.0,0.1637,471382145.95,169467236.42,219947860.09,2500503850.18,471382145.95,251434285.86,-48805387.32,48805387.32,169467236.42,169467236.42,2835361075.56,251434285.86,602785201.0,602785201.0,0.281,0.281,169467236.42,169467236.42,169467236.42,169467236.42,169467236.42,33161662.12,202628898.54,19339312.13,19339312.13,-48805387.32,48805387.32,251434285.86,334857225.38,-3355692.7,338212918.08,84648126.23,253564791.85,253564791.85,586291511.24,2500503850.18,3086795361.42,3067456049.29
2020-12-31,0.0,0.2,392849037.51,115047138.33,227270301.14,2265496646.45,392849037.51,165578736.37,-53972327.93,53972327.93,115047138.33,115047138.33,2654251643.59,165578736.37,602784000.0,602784000.0,0.190476,0.190476,115047138.33,115047138.33,115047138.33,115047138.33,115047138.33,-3440729.89,111606408.44,25807625.16,25807625.16,-53972327.93,53972327.93,165578736.37,388754997.14,2336569.11,386418428.03,88171474.93,298246953.1,298246953.1,554333733.51,2265496646.45,2819830379.96,2794022754.8
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,15038757.01,15038757.01,,,,,,,,,,,,,
