,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,5766379.364964,0.16178,142709402.0,35643446.0,35643446.0,86978418.0,74319342.0,2697493521.0,178352848.0,104033506.0,14079814.0,870475.0,14950289.0,57101351.364964,86978418.0,2871132188.0,,89083217.0,917276000.0,917276000.0,0.09,0.09,86978418.0,86978418.0,86978418.0,505052.0,86473366.0,86473366.0,16689665.0,103163031.0,35643446.0,,,,,35643446.0,14079814.0,870475.0,14950289.0,53439771.0,173638667.0,-17762280.0,9999728.0,181401219.0,51727400.0,129673819.0,129673819.0,227078438.0,2697493521.0,2924571959.0,2924571959.0
2022-12-31,236623.547899,0.183973,97983675.0,1286184.0,1286184.0,29650555.0,63174161.0,3169248478.0,99269859.0,36095698.0,5349160.0,1376480.0,6725640.0,28600994.547899,29650555.0,3337575922.0,,29370058.0,922180000.0,922180000.0,0.03,0.03,29650555.0,29650555.0,29650555.0,1318747.0,28331808.0,28331808.0,6387410.0,34719218.0,1286184.0,12334885.0,,,,1286184.0,5349160.0,1376480.0,6725640.0,28083874.0,168327444.0,-12334885.0,-8085181.0,188747510.0,55313235.0,133434275.0,133434275.0,196411318.0,3169248478.0,3365659796.0,3365659796.0
2021-12-31,9764275.448531,0.151016,162284347.0,64657077.0,64657077.0,136078523.0,64569673.0,3453435943.0,226941424.0,162371751.0,2451957.0,3031767.0,5483724.0,81185721.448531,136078523.0,3644662266.0,,156888027.0,922180000.0,922180000.0,0.15,0.15,136078523.0,136078523.0,136078523.0,801481.0,135277042.0,135277042.0,24062942.0,159339984.0,64657077.0,8595650.0,,,0.0,64657077.0,2451957.0,3031767.0,5483724.0,92230950.0,191226323.0,-8595650.0,5258800.0,194563173.0,56701718.0,137861455.0,137861455.0,283457273.0,3453435943.0,3736893216.0,3736893216.0
2020-12-31,3201187.360803,0.172638,279786941.0,18542790.0,18542790.0,187051958.0,65901280.0,2444531629.0,298329731.0,232428451.0,10609182.0,3587635.0,14196817.0,171710355.360803,187051958.0,2636574916.0,,218229734.0,922180000.0,922180000.0,0.2,0.2,187051958.0,187051958.0,187051958.0,-2282272.0,189334230.0,189334230.0,39506586.0,228840816.0,18544690.0,11282494.0,-7480743.0,7480743.0,1900.0,18542790.0,10609182.0,3587635.0,14196817.0,199686944.0,192043287.0,-11282494.0,4062807.0,199262974.0,57885957.0,141377017.0,141377017.0,391730231.0,2444531629.0,2836261860.0,2836261860.0
2019-12-31,,,,,,,,,,,,,,,,,14000000.0,,,,,,,,,,,,,,,11933851.0,4026461.0,-4026461.0,43833.0,,,,,,,,,,,,,,,,
