,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-19251933.4,0.2,127650199.0,-96259667.0,-96259667.0,-4183190.0,6943730.0,133152167.0,31390532.0,24446802.0,,,72824543.6,-4183190.0,441328695.0,1064797263.0,1064797263.0,-0.004,-0.004,-4183190.0,-4183190.0,-4183190.0,0.0,-4183190.0,-4183190.0,2427812.0,-1755378.0,-26201667.0,70058000.0,-96259667.0,,96259667.0,,,,24446802.0,308176528.0,,,308176528.0,36859891.0,271316637.0,271316637.0,332623330.0,133152167.0,465775497.0,465775497.0
2022-12-31,-9410532.7862,0.2093,144353850.0,-44961934.0,-44961934.0,104612425.0,6451774.0,126831063.0,99391916.0,92940142.0,,,140163826.2138,104612425.0,378465551.0,1064797263.0,1064797263.0,0.098,0.098,104612425.0,104612425.0,104612425.0,0.0,104612425.0,104612425.0,27693297.0,132305722.0,39365066.0,84327000.0,-44961934.0,,44961934.0,,,,92940142.0,251634488.0,-79363000.0,,251634488.0,43380806.0,208253682.0,208253682.0,344574630.0,126831063.0,471405693.0,471405693.0
2021-12-31,-14079451.8143,0.2071,192810580.0,-67983833.0,-67983833.0,102814468.0,6322640.0,109658611.0,124826747.0,118504107.0,,,156718849.1857,102814468.0,354046995.0,1064797263.0,1064797263.0,0.1,0.1,102814468.0,102814468.0,102814468.0,0.0,102814468.0,102814468.0,26860571.0,129675039.0,11171167.0,79155000.0,-67983833.0,,67983833.0,,,,118504107.0,244388384.0,-74566000.0,,244388384.0,36064824.0,208323560.0,208323560.0,362892491.0,109658611.0,472551102.0,472551102.0
2020-12-31,-12789252.28,0.2096,166193012.0,-61017425.0,-61017425.0,98670623.0,6651686.0,106271854.0,105175587.0,98523901.0,,,146898795.72,98670623.0,376129565.0,1064797263.0,1064797263.0,0.09,0.09,98670623.0,98670623.0,98670623.0,0.0,98670623.0,98670623.0,26166485.0,124837108.0,26313575.0,87331000.0,-61017425.0,1759000.0,61017425.0,,,,98523901.0,269857711.0,-82964000.0,-10049000.0,269857711.0,37320336.0,232537375.0,232537375.0,368381612.0,106271854.0,474653466.0,474653466.0
2019-12-31,,,,,,,,,,,44920636.0,44920636.0,,,,,,,,,,,,,,,,,,,2338000.0,,180000.0,44920636.0,44920636.0,,,-72304000.0,-8521000.0,,,,,,,,
