,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.190221,0.0,0.0,209578293.0,286703311.0,-960280.0,960280.0,83551000.0,209578293.0,209578293.0,4730183498.0,4191565860.0,4191565860.0,0.05,0.05,209578293.0,209578293.0,209578293.0,-21810376.0,231388669.0,231388669.0,54354362.0,285743031.0,35206871.0,0.0,0.0,-960280.0,960280.0,96651611.0,163172000.0,163172000.0,163172000.0,5015925496.0,5015925496.0,2065181584.0,2065181584.0,2133756394.0,68574810.0
2022-12-31,0.0,0.142844,0.0,0.0,-193675027.0,-225661066.0,-289622.0,289622.0,66601000.0,-193675027.0,-193675027.0,4677943621.0,3873500540.0,3873500540.0,-0.05,-0.05,-193675027.0,-193675027.0,-193675027.0,0.0,-193675027.0,-193675027.0,-32275661.0,-225950688.0,8689474.0,0.0,0.0,-289622.0,289622.0,80601571.0,120904000.0,120904000.0,120904000.0,4451992707.0,4451992707.0,2318303496.0,2318303496.0,2757796162.0,439492666.0
2021-12-31,0.0,0.183418,,,-356462115.0,-436139328.0,-390079.0,390079.0,101003000.0,-356462115.0,-356462115.0,5079272386.0,4455776438.0,4455776438.0,-0.08,-0.08,-356462115.0,-356462115.0,-356462115.0,0.0,-356462115.0,-356462115.0,-80067292.0,-436529407.0,10958386.0,,,-390079.0,390079.0,64471484.0,122103000.0,122103000.0,122103000.0,4642742022.0,4642742022.0,2701203046.0,2701203046.0,2968879670.0,267676624.0
2020-12-31,0.0,0.127794,,,222000237.0,254926486.0,-399275.0,399275.0,122077000.0,222000237.0,222000237.0,4172007643.0,4440004740.0,4440004740.0,0.05,0.05,222000237.0,222000237.0,222000237.0,0.0,222000237.0,222000237.0,32526974.0,254527211.0,6203782.0,,,-399275.0,399275.0,54315687.0,135205000.0,135205000.0,135205000.0,4426535361.0,4426535361.0,1835778974.0,1835778974.0,2074314581.0,238535607.0
2019-12-31,,,327038.0,327038.0,,,,,,,,,,,,,,,,,,,,,,327038.0,-327038.0,,,,,,,,,,,,
