,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,3428918.099362,0.198939,683591149.78,17236000.0,17236000.0,419674706.45,148345071.59,1617694898.74,700827149.78,552482078.19,-33544043.08,33544043.08,,405867624.549362,419674706.45,1840126936.99,552482078.19,299767647.0,299767647.0,1.4,1.4,419674706.45,419674706.45,419674706.45,3973850.56,415700855.89,415700855.89,103237179.22,518938035.11,44771109.09,27535109.09,,,17236000.0,-33544043.08,33544043.08,,507710969.1,222432038.25,222432038.25,222432038.25,222432038.25,730143007.35,1617694898.74,2347837906.09,2347837906.09
2022-12-31,2982589.72554,0.198376,1466183871.71,15035000.0,15035000.0,1029225895.83,167262721.73,1847633013.63,1481218871.71,1313956149.98,-24479953.38,24479953.38,,1017173485.55554,1029225895.83,2092586097.08,1313956149.98,299193574.0,299193574.0,3.44,3.44,1029225895.83,1029225895.83,1029225895.83,-4448607.7,1033674503.53,1033674503.53,255801693.07,1289476196.6,41184160.88,26149160.88,,,15035000.0,-24479953.38,24479953.38,,1272771989.1,244953083.45,244953083.45,244953083.45,244953083.45,1517725072.55,1847633013.63,3365358086.18,3365358086.18
2021-12-31,563986.871782,0.200529,1437379556.85,2812500.0,2812500.0,1011957785.95,163038814.77,1684211727.04,1440192056.85,1277153242.08,-5917215.77,5917215.77,379897.09,1009709272.821782,1011957785.95,1867672037.43,,299931295.0,299931295.0,3.37,3.37,1011957785.95,1011957785.95,1011957785.95,-4358976.44,1016316762.39,1016316762.39,254919263.92,1271236026.31,27092797.83,24280297.83,,,2812500.0,-5917215.77,5917215.77,379897.09,1250060444.25,183460310.39,183460310.39,183460310.39,183460310.39,1433520754.64,1684211727.04,3117732481.68,3117732481.68
2020-12-31,0.0,0.087457,562282228.28,0.0,0.0,412494824.38,108760340.5,1270946962.65,562282228.28,453521887.78,672997.39,257024.22,930021.61,412494824.38,412494824.38,1424878483.08,,300000000.0,300000000.0,1.37,1.37,412494824.38,412494824.38,412494824.38,-1128736.33,413623560.71,413623560.71,39641302.85,453264863.56,21971244.8,21971244.8,0.0,0.0,,672997.39,257024.22,930021.61,430620621.37,153931520.43,153931520.43,153931520.43,153931520.43,584552141.8,1270946962.65,1855499104.45,1855499104.45
2019-12-31,,,,,,,,,,,,,4756789.88,,,,,,,,,,,,,,,,,,,98738356.48,98738356.48,,,,4756789.88,,,,,,,,,
