,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2375947.046153,0.128067,78193456.0,18552320.0,18552320.0,29925922.0,53812060.0,896230423.0,96745776.0,42933716.0,-5528524.0,5528524.0,13749549.046153,29925922.0,1292033553.0,27918820.0,4987653667.0,4987653667.0,0.006,0.006,29925922.0,29925922.0,29925922.0,-2688885.0,32614807.0,32614807.0,4790385.0,37405192.0,52014640.0,33462320.0,18552320.0,-18552320.0,-5528524.0,5528524.0,-9080924.0,395803130.0,,395803130.0,146661727.0,249141403.0,249141403.0,386722206.0,896230423.0,1282952629.0,1282952629.0
2022-12-31,1775653.145868,0.32139,130674200.0,5524922.0,5524922.0,51147236.0,49396355.0,1280676848.0,136199122.0,86802767.0,-11501896.0,11501896.0,47397967.145868,51147236.0,1739128391.0,29948578.0,5114723600.0,5114723600.0,0.01,0.01,51147236.0,51147236.0,51147236.0,47291.0,51099945.0,51099945.0,24200926.0,75300871.0,29273134.0,23748212.0,5524922.0,-5524922.0,-11501896.0,11501896.0,57529633.0,458451543.0,,458451543.0,213530834.0,244920709.0,244920709.0,515981176.0,1280676848.0,1796658024.0,1796658024.0
2021-12-31,5549455.074474,0.332696,93965937.0,16680242.0,16680242.0,21639050.0,64636001.0,917007517.0,110646179.0,46010178.0,-17856022.0,17856022.0,10508263.074474,21639050.0,1297050996.0,29539571.0,5022246000.0,5022246000.0,0.004,0.004,21639050.0,21639050.0,21639050.0,2851678.0,18787372.0,18787372.0,9366784.0,28154156.0,89440997.0,72760755.0,16680242.0,-16680242.0,-17856022.0,17856022.0,-43430819.0,380043479.0,,380043479.0,135160343.0,244883136.0,244883136.0,336612660.0,917007517.0,1253620177.0,1253620177.0
2020-12-31,-23636419.932838,0.272809,426446404.0,-86641059.0,-86641059.0,188515976.0,65160496.0,1797533474.0,339805345.0,274644849.0,-11297955.0,11297955.0,251520615.067162,188515976.0,2318625763.0,29145727.0,5022246000.0,5022246000.0,0.038,0.038,188515976.0,188515976.0,188515976.0,-2987639.0,191503615.0,191503615.0,71843279.0,263346894.0,-52852403.0,33788656.0,-86641059.0,86641059.0,-11297955.0,11297955.0,327497252.0,521092289.0,,521092289.0,243461227.0,277631062.0,277631062.0,848589541.0,1797533474.0,2646123015.0,2646123015.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27241267.0,,,,,,,,
