,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2385080.2,0.2,1706646697.0,11925401.0,11925401.0,850025042.0,406046806.0,27024638737.0,1718572098.0,1312525292.0,-262609189.0,250410262.0,,840484721.2,850025042.0,28338337583.0,103529798.0,1312798818.0,1334000000.0,1334000000.0,0.64,0.64,850025042.0,850025042.0,850025042.0,,850025042.0,850025042.0,212089988.0,1062115030.0,11925401.0,,11207355.0,-1479971.0,,-12687326.0,,718046.0,-262609189.0,12198927.0,250410262.0,,1539457729.0,1313698846.0,-47334132.0,406046806.0,406046806.0,954986172.0,143444271.0,811541901.0,19800973.0,103529798.0,688211130.0,2853156575.0,27024638737.0,29877795312.0,29578235946.0
2022-12-31,7476553.35,0.21,1433460978.0,35602635.0,35602635.0,707856003.0,379947676.0,27063337853.0,1469063613.0,1089115937.0,-218777650.0,192284918.0,,679729921.35,707856003.0,28285853086.0,65576870.0,1080006034.0,1034772603.0,1034772603.0,0.68,0.68,707856003.0,707856003.0,707856003.0,0.0,707856003.0,707856003.0,188975016.0,896831019.0,35602635.0,,23599020.0,-930257.0,0.0,-24529277.0,,12003615.0,-218777650.0,26492732.0,192284918.0,,1294765268.0,1222515233.0,-23070475.0,379947676.0,379947676.0,865638032.0,150625366.0,715012666.0,22810057.0,65576870.0,626625739.0,2517280501.0,27063337853.0,29580618354.0,29358195066.0
2021-12-31,11779990.31,0.19,1232018886.0,61999949.0,61999949.0,586099828.0,361107865.0,20278707149.0,1294018835.0,932910970.0,-200220923.0,200220923.0,31508.0,535879869.31,586099828.0,21384643528.0,,870911021.0,1000000000.0,1000000000.0,0.5861,0.5861,586099828.0,586099828.0,586099828.0,-4926362.0,591026190.0,591026190.0,141663857.0,732690047.0,61999949.0,14757491.0,47851764.0,-1340744.0,27999600.0,-21192908.0,-29868193.0,14148185.0,-200220923.0,,200220923.0,31508.0,870911021.0,1105936379.0,-10165025.0,,,1116101404.0,912822449.0,203278955.0,203278955.0,,,1976847400.0,20278707149.0,22255554549.0,22095373277.0
2020-12-31,-4496010.84,0.18,1462806733.0,-24977838.0,-24977838.0,737643299.0,328719624.0,17306515921.0,1437828895.0,1109109271.0,-211822836.0,211890681.0,67845.0,758125126.16,737643299.0,18315627045.0,,1134087109.0,1000000000.0,1000000000.0,0.737643,0.737643,737643299.0,737643299.0,737643299.0,3505209.0,734138090.0,734138090.0,163080500.0,897218590.0,-5694892.0,19282946.0,-17525298.0,-388796.0,,,17136502.0,-7452540.0,-211822836.0,,211890681.0,67845.0,1114736318.0,1009111124.0,,,,1009111124.0,727571319.0,281539805.0,281539805.0,,,2123847442.0,17306515921.0,19430363363.0,19306342575.0
