,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.224,260333910.78,162081349.17,37981617.28,1592094058.94,260333910.78,222352293.5,-36123000.0,26136000.0,162081349.17,162081349.17,2134061386.63,72453355.42,233845736.36,1245284000.0,1245284000.0,0.13,0.13,162081349.17,162081349.17,162081349.17,9940096.73,152141252.44,152141252.44,44075041.06,196216293.5,,,-36123000.0,9987000.0,26136000.0,232339736.36,541967327.69,,541967327.69,235739689.85,306227637.84,304721637.84,,1506000.0,774307064.05,1592094058.94,2366401122.99,2353904687.19
2022-12-31,0.0,0.2361,488679108.14,349382135.17,33114883.56,1691527244.59,488679108.14,455564224.58,-14397000.0,13818000.0,349382135.17,349382135.17,2192004300.29,59563880.74,457177454.46,1245284000.0,1245284000.0,0.281,0.281,349382135.17,349382135.17,349382135.17,11564714.14,337817421.03,337817421.03,103928803.55,441746224.58,,,-14397000.0,579000.0,13818000.0,456143454.46,500477055.7,-10928457.49,500477055.7,213615667.46,286861388.24,285827388.24,,1034000.0,956620510.16,1691527244.59,2648147754.75,2637219297.26
2021-12-31,0.0,0.2556,370445938.81,251931929.04,32488806.93,1745520998.08,370445938.81,337957131.88,-15584000.0,15195000.0,251931929.04,251931929.04,2202123293.87,46592611.32,339125537.5,1245284000.0,1245284000.0,0.202,0.202,251931929.04,251931929.04,251931929.04,11676376.89,240255552.15,240255552.15,82506579.73,322762131.88,,,-15584000.0,389000.0,15195000.0,338346537.5,456602295.79,-9607155.88,456602295.79,217443911.93,239158383.86,238379383.86,,779000.0,794948833.29,1745520998.08,2540469831.37,2530862675.49
2020-12-31,0.0,0.2177,194395836.53,115278400.21,24768346.05,1238818379.31,194395836.53,169627490.48,-28429000.0,28277000.0,115278400.21,115278400.21,1623420135.09,26817600.92,170618644.1,1245284000.0,1245284000.0,0.093,0.093,115278400.21,115278400.21,115278400.21,4702115.12,110576285.08,110576285.08,30774205.4,141350490.48,10098871.2,10098871.2,-28429000.0,152000.0,28277000.0,169779644.1,384601755.78,-10098871.2,384601755.78,161614531.33,222987224.45,222148224.45,26817600.92,839000.0,554381399.88,1238818379.31,1793199779.19,1783100907.99
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,21242588.33,21242588.33,,,,,,,,,,,20954263.92,,,,,
