,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,35707120.664,0.2,99421093.77,178535603.32,178535603.32,32013782.13,93620859.46,374858682.25,277956697.09,184335837.63,-99550837.33,129947349.44,30396512.11,-110814700.526,32013782.13,516011733.47,2293000.0,369194586.45,5712456000.0,5712456000.0,0.0056,0.0056,32013782.13,32013782.13,32013782.13,12570776.14,19443005.99,0.0,19443005.99,34945482.2,54388488.19,25304709.38,31627854.88,,,-184858748.82,178535603.32,-99550837.33,129947349.44,30396512.11,128634616.14,141153051.22,-13961560.08,0.0,155114611.3,8694550.22,146420061.08,146420061.08,269787667.36,374858682.25,644646349.61,644646349.61
2022-12-31,9959544.997693,0.020698,208846982.45,481190343.45,481190343.45,435329493.33,124328247.25,26758732.94,690037325.9,565709078.65,-117731425.22,119011760.72,1280335.5,-35901305.122307,403632445.61,111168434.9,177000.0,668812880.14,5805349000.0,5805349000.0,0.0695,0.0695,403632445.61,403632445.61,403632445.61,-2122206.73,405754652.34,-31697047.72,437451700.06,9245617.87,446697317.93,378086541.96,,,,-103103801.49,481190343.45,-117731425.22,119011760.72,1280335.5,186342201.19,84409701.96,-23208732.68,0.0,107618434.64,0.0,107618434.64,107618434.64,270751903.15,26758732.94,297510636.09,297510636.09
2021-12-31,260238.982208,0.087324,1015358838.78,2980166.68,2980166.68,441495395.75,431870895.72,542708900.27,1018339005.46,586468109.74,-94689851.8,94689851.8,1053826.76,438775468.052208,329273239.03,99655127.74,53934000.0,187394034.62,4784592000.0,4784592000.0,0.0688,0.0688,329273239.03,329273239.03,329273239.03,-7338997.95,336612236.98,-112222156.72,448834393.7,42943864.24,491778257.94,403024458.92,,-171475405.66,171475405.66,400044292.24,2980166.68,-94689851.8,94689851.8,1053826.76,183443650.82,99655127.74,-8288145.48,,99655127.74,22294918.52,77360209.22,77360209.22,263957249.76,542708900.27,283098778.56,283098778.56
2020-12-31,-53615716.6,0.2,880529134.24,-268078583.0,-268078583.0,182846737.72,331375486.47,517615417.5,612450551.24,281075064.77,-116749058.89,120677223.79,3928164.9,397309604.12,182846737.72,802387632.33,72801000.0,-168621982.72,4593000000.0,4593000000.0,0.0398,0.0398,182846737.72,182846737.72,182846737.72,-5036765.27,187883502.99,,187883502.99,-27485662.01,160397840.98,181618464.49,13750252.0,0.0,0.0,449697047.49,-268078583.0,-116749058.89,120677223.79,3928164.9,95528435.38,284772214.83,-13750252.0,,298522466.83,25504118.94,273018347.89,273018347.89,380300650.21,517615417.5,897916067.71,897916067.71
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23400379.1,,,,,,,,,,,,,,,,,,,
