,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,618258.365495,0.183577,152628941.0,3367851.0,3367851.0,107491429.0,22150699.0,57245104.0,155996792.0,133846093.0,11661544.0,661277.0,12322821.0,104741836.365495,107491429.0,175870913.0,,116890793.0,599840564.0,599840564.0,0.1792,0.1792,107491429.0,107491429.0,107491429.0,-1243782.0,108735211.0,108735211.0,24449605.0,133184816.0,4632479.0,,0.0,0.0,1264628.0,3367851.0,11661544.0,661277.0,12322821.0,116890793.0,118625809.0,-1089915.0,119715724.0,53382955.0,66332769.0,66332769.0,235516602.0,57245104.0,292761706.0,292761706.0
2022-12-31,535268.733857,0.191882,121496945.0,2789572.0,2789572.0,80915783.0,23245556.0,47939348.0,124286517.0,101040961.0,9044591.0,566231.0,9610822.0,78661479.733857,80915783.0,162348448.0,,88032930.0,599820482.0,599820482.0,0.1349,0.1349,80915783.0,80915783.0,80915783.0,-279652.0,81195435.0,81195435.0,19279295.0,100474730.0,3397209.0,,0.0,0.0,607637.0,2789572.0,9044591.0,566231.0,9610822.0,88032930.0,114409100.0,-2084322.0,116493422.0,48139928.0,68353494.0,68353494.0,202442030.0,47939348.0,250381378.0,250381378.0
2021-12-31,1020725.448041,0.196407,108114763.0,5196990.0,5196990.0,68699042.0,26957645.0,46263802.0,113311753.0,86354108.0,6757741.0,864257.0,7621998.0,64522777.448041,68699042.0,149531673.0,,73819854.0,599991633.0,599991633.0,0.1145,0.1145,68699042.0,68699042.0,68699042.0,,68699042.0,68699042.0,16790809.0,85489851.0,4912256.0,,0.0,0.0,-284734.0,5196990.0,6757741.0,864257.0,7621998.0,73819854.0,103267871.0,-3025166.0,106293037.0,35883737.0,70409300.0,70409300.0,177087725.0,46263802.0,223351527.0,223351527.0
2020-12-31,1739820.215721,0.1963,109923617.0,8863051.0,8863051.0,69975316.0,31243625.0,52873611.0,118786668.0,87543043.0,2679625.0,476540.0,3156165.0,62852085.215721,69975316.0,172191568.0,918221.0,75534501.0,600131355.0,600131355.0,0.1166,0.1166,69975316.0,69975316.0,69975316.0,,69975316.0,69975316.0,17091187.0,87066503.0,8852377.0,,,,-10674.0,8863051.0,2679625.0,476540.0,3156165.0,75534501.0,119317957.0,-5408947.0,124726904.0,48823284.0,75903620.0,75903620.0,194852458.0,52873611.0,247726069.0,247726069.0
2019-12-31,,,,,,,,,,,,,,,,,21067844.0,,,,,,,,,,,,,,,6677957.0,,,,,,,,,,,,,,,,,,
