,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-3717460.037931,0.052591,1198211311.0,-70685989.0,-70685989.0,810220220.0,264580975.0,2866929892.0,1127525322.0,862944347.0,31367471.0,7748355.0,39115826.0,877188748.962069,733332241.0,3114931293.0,824616620.0,1525000000.0,1525000000.0,0.481,0.481,733332241.0,733332241.0,733332241.0,,733332241.0,-76887979.0,810220220.0,44975772.0,855195992.0,-35117088.0,36357000.0,-90440014.0,7383000.0,,97823014.0,-788099.0,19754025.0,31367471.0,7748355.0,39115826.0,858945237.0,248001401.0,,,248001401.0,42596193.0,205405208.0,205405208.0,1106946638.0,2866929892.0,3973876530.0,3973876530.0
2022-12-31,1167366.279014,0.065874,1132765713.0,17721205.0,17721205.0,732102569.0,358210590.0,2959439157.0,1150486918.0,792276328.0,12972887.0,8546347.0,21519234.0,715548730.279014,664120712.0,3220405544.0,771239781.0,1525000000.0,1525000000.0,0.435,0.435,664120712.0,664120712.0,664120712.0,0.0,664120712.0,-67981857.0,732102569.0,51627412.0,783729981.0,76455518.0,59217000.0,38318097.0,40950000.0,0.0,2631903.0,-482687.0,-20596892.0,12972887.0,8546347.0,21519234.0,694301117.0,260966387.0,-8928000.0,,269894387.0,43518097.0,226376290.0,226376290.0,955267504.0,2959439157.0,3914706661.0,3914706661.0
2021-12-31,-1388550.510162,0.094155,1108091693.0,-14747502.0,-14747502.0,570295499.0,446898526.0,2990045561.0,1093344191.0,646445665.0,-7310718.0,17210775.0,9900057.0,583654450.489838,504038583.0,3401586132.0,636545608.0,1525000000.0,1525000000.0,0.331,0.331,504038583.0,504038583.0,504038583.0,306197.0,503732386.0,-66256916.0,569989302.0,59245588.0,629234890.0,-14602625.0,144877.0,-53311502.0,32463.0,36352088.0,89696053.0,0.0,38564000.0,-7310718.0,17210775.0,9900057.0,473985771.0,411540571.0,,,411540571.0,49930268.0,361610303.0,361610303.0,885526342.0,2990045561.0,3875571903.0,3875571903.0
2020-12-31,8431347.805597,0.096616,754412379.0,87266994.0,87266994.0,259624752.0,538426098.0,2601420826.0,841679373.0,303253275.0,-3353081.0,16282330.0,12929249.0,180789105.805597,253789496.0,2951290508.0,290324026.0,1525000000.0,1525000000.0,0.166,0.166,253789496.0,253789496.0,253789496.0,379660.0,253409836.0,-5835256.0,259245092.0,27725853.0,286970945.0,140561994.0,53295000.0,-90932.0,,0.0,90932.0,,87357926.0,-3353081.0,16282330.0,12929249.0,149762254.0,349869682.0,,90932.0,349869682.0,47677383.0,302192299.0,302192299.0,499631936.0,2601420826.0,3101052762.0,3101052762.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,764808.0,,,,,,,,,,0.0,,,,,,,,,,213357214.0,,,,,,,,
