,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Insurance And Claims,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-03-31,4146387.6,0.2,970002696.0,20731938.0,20731938.0,854250752.0,558433234.0,990734634.0,990734634.0,-133820411.0,136483886.0,2663475.0,837665201.6,854250752.0,782200834.0,1482500000.0,1482500000.0,0.576223,0.576223,854250752.0,854250752.0,854250752.0,854250748.0,854250748.0,854250748.0,43994371.0,23262433.0,20731938.0,-133820411.0,136483886.0,2663475.0,944076788.0,223767600.0,120570000.0,103197600.0,103197600.0,97258600.0,5939000.0,1167844388.0,558433234.0,1726277622.0,1726277622.0
2023-03-31,2316840.2,0.2,1052715651.0,11584201.0,11584201.0,963122251.0,552386572.0,1064299852.0,1064299852.0,-99954338.0,101177918.0,1223580.0,953854890.2,963122251.0,726663572.0,1482500000.0,1482500000.0,0.649661,0.649661,963122251.0,963122251.0,963122251.0,963121934.0,963121934.0,963121934.0,21194014.0,9609813.0,11584201.0,-99954338.0,101177918.0,1223580.0,1041882258.0,174277000.0,76631000.0,97646000.0,97646000.0,92117000.0,5529000.0,1216159258.0,552386572.0,1768545830.0,1768545830.0
2022-03-31,432947.8,0.2,271530151.0,2164739.0,2164739.0,160930221.0,255954342.0,273694890.0,273694890.0,-112329206.0,112764861.0,435655.0,159198429.8,160930221.0,387566342.0,1482500000.0,1482500000.0,0.108553,0.108553,160930221.0,160930221.0,160930221.0,160930029.0,160930029.0,160930029.0,4301306.0,2136567.0,2164739.0,-112329206.0,112764861.0,435655.0,268957929.0,131612000.0,73190000.0,58422000.0,58422000.0,52952000.0,5470000.0,400569929.0,255954342.0,656524271.0,656524271.0
2021-03-31,1283986.2,0.2,554916236.0,6419931.0,6419931.0,446703994.0,406837786.0,561336167.0,561336167.0,-113916018.0,114631678.0,715660.0,441568049.2,446703994.0,547645266.0,1482500000.0,1482500000.0,0.301318,0.301318,446703994.0,446703994.0,446703994.0,446704489.0,446704489.0,446704489.0,21159135.0,14739204.0,6419931.0,-113916018.0,114631678.0,715660.0,539461372.0,140807480.0,62712000.0,78095480.0,78095480.0,73415480.0,4680000.0,680268852.0,406837786.0,1087106638.0,1087106638.0
