,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,7140811.84,0.16,578277969.0,44630074.0,44630074.0,431092022.0,97871415.0,1003204349.0,622908043.0,525036628.0,-14848535.0,14848535.0,393602759.84,431092022.0,1499634026.0,480406554.0,275467.0,275467.0,1564.949783,1564.949783,431092022.0,431092022.0,431092022.0,-336.0,431092358.0,431092358.0,79095735.0,510188093.0,52443977.0,7813903.0,44630074.0,-44630074.0,-14848535.0,14848535.0,472592651.0,496429677.0,496429677.0,324752806.0,171676871.0,171676871.0,969022328.0,1003204349.0,1972226677.0,1972226677.0
2022-12-31,-8113054.2,0.2,723865127.0,-40565271.0,-40565271.0,472817238.0,75094751.0,923568430.0,683299856.0,608205105.0,-16975368.0,16975368.0,505269454.8,472817238.0,1375884341.0,648770376.0,249732.0,249732.0,1893.298568,1893.298568,472817238.0,472817238.0,472817238.0,293534.0,472523704.0,472523704.0,118706033.0,591229737.0,-32513649.0,8051622.0,-40565271.0,40565271.0,-16975368.0,16975368.0,640718754.0,452315911.0,452315911.0,296013629.0,156302282.0,156302282.0,1093034665.0,923568430.0,2016603095.0,2016603095.0
