,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.1837,138667422.0,138667422.0,138667422.0,904968177.0,35988292.0,41248657.0,41248657.0,3.36,3.36,138667422.0,138667422.0,138667422.0,138667422.0,138667422.0,31213599.0,169881021.0,70702912.0,20848592.0,128643921.0,1312024.0,127331897.0,35988292.0,91343605.0,1074849198.0,1074849198.0,338922905.0,338922905.0,303871104.0,-35051801.0
2022-12-31,0.0,0.1726,60091287.0,60091287.0,60091287.0,1138089881.0,51128599.0,41248657.0,41248657.0,1.456,1.456,60091287.0,60091287.0,60091287.0,60091287.0,60091287.0,12535131.0,72626418.0,69696099.0,17550196.0,121436752.0,1375184.0,120061568.0,51128599.0,68932969.0,1210716299.0,1210716299.0,467528262.0,467528262.0,650818502.0,183290240.0
2021-12-31,0.0,0.3602,92405831.0,92405831.0,92405831.0,849842384.0,47595520.0,41249711.0,41249711.0,2.24,2.24,92405831.0,92405831.0,92405831.0,92405831.0,92405831.0,52022988.0,144428819.0,69963178.0,18519171.0,131016020.0,1031079.0,129984941.0,47595520.0,82389421.0,994271203.0,994271203.0,285025371.0,285025371.0,324576787.0,39551416.0
2020-12-31,0.0,0.1795,13020319.0,13020319.0,13020319.0,906454620.0,45117903.0,41249711.0,41249711.0,0.312727,0.312727,13020319.0,13020319.0,13020319.0,13020319.0,13020319.0,2847873.0,15868192.0,69886675.0,26339777.0,101677529.0,1454994.0,100222535.0,45117903.0,55104632.0,922322812.0,922322812.0,396042505.0,396042505.0,324933829.0,-71108676.0
