,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,942874.038826,0.104254,-357250419.0,9044002.0,9044002.0,-338989821.0,20901483.0,862947057.0,-348206417.0,-369107900.0,-9281968.0,10684583.0,1402615.0,-347090948.961174,-338989821.0,1139519209.0,591565408.0,591565408.0,-0.57,-0.57,-338989821.0,-338989821.0,-338989821.0,1207749.0,-340197570.0,-340197570.0,-39594913.0,-379792483.0,10178279.0,1684602.0,6339000.0,1817152.0,4771848.0,250000.0,0.0,-550325.0,2705002.0,-9281968.0,10684583.0,1402615.0,-380688794.0,276572152.0,276572152.0,60661040.0,215911112.0,215911112.0,-104116642.0,862947057.0,758830415.0,758830415.0
2022-12-31,489342.123219,0.360422,31491859.0,1357694.0,1357694.0,4914380.0,20656218.0,1153705097.0,32849553.0,12193335.0,-2752930.0,4591544.0,1838614.0,4046028.123219,4914380.0,1356591151.0,599438031.0,599438031.0,0.01,0.01,4914380.0,4914380.0,4914380.0,52438.0,4861942.0,4861942.0,2739849.0,7601791.0,3014303.0,1656609.0,-1625146.0,34570.0,0.0,0.0,1659716.0,0.0,2982840.0,-2752930.0,4591544.0,1838614.0,7340418.0,202886054.0,202886054.0,34635883.0,168250171.0,168250171.0,210226472.0,1153705097.0,1363931569.0,1363931569.0
2021-12-31,-1297948.494643,0.202261,258397997.0,-6417181.0,-6417181.0,178799887.0,26297297.0,1137244770.0,251980816.0,225683519.0,2738434.0,1550070.0,4288504.0,183919119.505357,178799887.0,1383317091.0,600000000.0,600000000.0,0.3,0.3,178799887.0,178799887.0,178799887.0,,178799887.0,178799887.0,45333562.0,224133449.0,-4353444.0,2063737.0,-2754196.0,-2754196.0,,,,,-3662985.0,2738434.0,1550070.0,4288504.0,225748459.0,246072321.0,246072321.0,48475062.0,197597259.0,197597259.0,471820780.0,1137244770.0,1609065550.0,1609065550.0
2020-12-31,-245318.51963,0.201655,331373890.0,-1216524.0,-1216524.0,247551917.0,19443370.0,2049397728.0,330157366.0,310713996.0,1475369.0,632500.0,2107869.0,248523122.48037,247551917.0,2272136222.0,600000000.0,600000000.0,0.412587,0.412587,247551917.0,247551917.0,247551917.0,0.0,247551917.0,247551917.0,62529579.0,310081496.0,-360099.0,856425.0,-500514.0,-500514.0,,,,0.0,-716010.0,1475369.0,632500.0,2107869.0,308966226.0,222738494.0,222738494.0,76661903.0,146076591.0,146076591.0,531704720.0,2049397728.0,2581102448.0,2581102448.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-7867.0,,,,,,,,,,,,,,
