,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,18870897.7968,0.2128,746621716.0,88679031.0,88679031.0,391142675.0,10993042.0,277628123.0,835300747.0,824307705.0,-245542884.0,254178236.0,8635352.0,321334541.7968,391142675.0,804473550.0,1137190272.0,1137190272.0,0.344,0.344,391142675.0,391142675.0,391142675.0,-57689300.0,448831975.0,448831975.0,121297494.0,570129469.0,93073710.0,4394679.0,88679031.0,88679031.0,,-245542884.0,254178236.0,8635352.0,722598643.0,526845427.0,,406938335.0,119907092.0,119907092.0,119907092.0,1249444070.0,277628123.0,1527072193.0,1527072193.0
2022-12-31,10642627.4423,0.2149,468739112.0,49523627.0,49523627.0,251199502.0,8791338.0,242060765.0,518262739.0,509471401.0,-156440846.0,159898325.0,3457479.0,212318502.4423,251199502.0,547637313.0,1166097722.0,1129607107.0,0.2154,0.2224,251199502.0,251199502.0,251199502.0,-23260401.0,274459903.0,274459903.0,75113173.0,349573076.0,54445071.0,4921444.0,49523627.0,49523627.0,,-156440846.0,159898325.0,3457479.0,451568851.0,305576548.0,,218932467.0,86644081.0,86644081.0,86644081.0,757145399.0,242060765.0,999206164.0,999206164.0
2021-12-31,13237260.0975,0.1707,309916648.0,77546925.0,77546925.0,218998989.0,6901363.0,177375576.0,387463573.0,380562210.0,-109158177.0,112801316.0,3643139.0,154689324.0975,218998989.0,425226113.0,1093552215.0,1002276802.0,0.200298,0.21849,218998989.0,218998989.0,218998989.0,-3043741.0,222042730.0,222042730.0,45718164.0,267760894.0,81757607.0,4210682.0,77546925.0,77546925.0,,-109158177.0,112801316.0,3643139.0,295161464.0,247850537.0,,177800209.0,70050328.0,70050328.0,70050328.0,543012001.0,177375576.0,720387577.0,720387577.0
2020-12-31,7802021.939,0.2074,216860433.0,37618235.0,37618235.0,155353886.0,6466124.0,117324872.0,254478668.0,248012544.0,-51198192.0,52701608.0,1503416.0,125537672.939,155353886.0,272367702.0,908580384.0,803456498.0,0.170986,0.175816,155353886.0,155353886.0,155353886.0,549057.0,154804829.0,154804829.0,40506107.0,195310936.0,39759346.0,2141111.0,37238875.0,37238875.0,379360.0,-51198192.0,52701608.0,1503416.0,206749782.0,155042830.0,,87057664.0,67985166.0,67985166.0,67985166.0,361792612.0,117324872.0,479117484.0,479117484.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-804657.0,,,,,,,,
