,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-17182536.4,0.2,414479848.0,-85912682.0,-85912682.0,241867898.0,82020577.0,328567166.0,328567166.0,-86418381.0,86699268.0,280887.0,310598043.6,241867898.0,148357841.0,375000000.0,375000000.0,0.644981,0.644981,241867898.0,241867898.0,241867898.0,241867898.0,241867898.0,241867898.0,-32017027.0,53895655.0,-85912682.0,-86418381.0,86699268.0,280887.0,360303306.0,66337264.0,66337264.0,66337264.0,66337264.0,426640570.0,82020577.0,508661147.0,508661147.0
2022-12-31,-15252033.8,0.2,327848326.0,-76260169.0,-76260169.0,208574590.0,64355730.0,251588157.0,251588157.0,-42943723.0,43013567.0,69844.0,269582725.2,208574590.0,115571108.0,250452007.0,250452007.0,0.832793,0.832793,208574590.0,208574590.0,208574590.0,208574590.0,208574590.0,208574590.0,-65461899.0,10798270.0,-76260169.0,-42943723.0,43013567.0,69844.0,316980212.0,51215378.0,51215378.0,51215378.0,51215378.0,368195590.0,64355730.0,432551320.0,432551320.0
2021-12-31,-17017086.4,0.2,338185302.0,-85085432.0,-85085432.0,209290787.0,64913399.0,253099870.0,253099870.0,-43771681.0,43809083.0,37402.0,277359132.6,209290787.0,103386891.0,250452007.0,250452007.0,0.835652,0.835652,209290787.0,209290787.0,209290787.0,209290787.0,209290787.0,209290787.0,-82291077.0,2794355.0,-85085432.0,-43771681.0,43809083.0,37402.0,335353545.0,38473492.0,38473492.0,38473492.0,38473492.0,373827037.0,64913399.0,438740436.0,438740436.0
