,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2374,124760490.02,79050278.2,20498335.19,338856112.69,124760490.02,104262154.83,5900239.67,602054.9,6502294.57,79050278.2,79050278.2,526254824.0,,101424612.14,600000000.0,600000000.0,0.13,0.13,79050278.2,79050278.2,79050278.2,0.0,79050278.2,79050278.2,24609821.73,103660099.93,-3664751.88,,-3664751.88,5900239.67,602054.9,6502294.57,101424612.14,187398711.31,-5852171.43,193250882.74,53133659.48,140117223.26,140117223.26,288823323.45,338856112.69,627679436.14,627679436.14
2022-12-31,0.0,0.2826,70495348.74,37185475.17,17164889.29,341436082.2,70495348.74,53330459.45,2951731.9,1493958.95,4445690.85,37185475.17,37185475.17,507941301.64,,68505291.52,600000000.0,600000000.0,0.06,0.06,37185475.17,37185475.17,37185475.17,0.0,37185475.17,37185475.17,14651025.33,51836500.5,-19620522.92,,-19620522.92,2951731.9,1493958.95,4445690.85,68505291.52,166505219.44,-4363255.58,170868475.02,53979679.31,116888795.71,116888795.71,235010510.96,341436082.2,576446593.16,576446593.16
2021-12-31,0.0,0.2246,58279802.93,30794422.74,18316540.2,290561694.86,58279802.93,39963262.73,4654889.81,250714.86,4905604.67,30794422.74,30794422.74,455831608.9,,41707857.69,600000000.0,600000000.0,0.05,0.05,30794422.74,30794422.74,30794422.74,0.0,30794422.74,30794422.74,8918125.13,39712547.87,-6650199.63,,-6650199.63,4654889.81,250714.86,4905604.67,41707857.69,165269914.04,-2763084.54,168032998.58,51509913.84,116523084.74,116523084.74,206977771.73,290561694.86,497539466.59,497539466.59
2020-12-31,0.0,0.2468,65833970.75,34091628.92,20291386.21,299751119.1,65833970.75,45542584.54,6477575.83,278831.77,6756407.6,34091628.92,34091628.92,465943434.36,,43467463.72,600000000.0,600000000.0,0.06,0.06,34091628.92,34091628.92,34091628.92,0.0,34091628.92,34091628.92,11172123.85,45263752.77,-4681286.78,,-4681286.78,6477575.83,278831.77,6756407.6,43467463.72,166192315.26,-2592114.51,168784429.77,51598788.52,117185641.25,117185641.25,209659778.98,299751119.1,509410898.08,509410898.08
2019-12-31,,,,,,,,,,,,,,,27831548.51,,,,,,,,,,,,,,,14555044.99,,,,,,,,,,,,,,,
