,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.07367,1196362678.0,,,581394349.0,123289695.0,1366965004.0,1196362678.0,1073072983.0,-444633349.0,444633349.0,,581394349.0,581394349.0,1768700406.0,167152040.0,1027247831.0,3474010000.0,3474010000.0,0.17,0.17,581394349.0,581394349.0,581394349.0,-748247.0,582142596.0,,582142596.0,46297038.0,628439634.0,45825152.0,,,,,45825152.0,,-444633349.0,444633349.0,,1027247831.0,401735402.0,-44402429.0,446137831.0,198303615.0,247834216.0,247834216.0,1428983233.0,1366965004.0,2795948237.0,2795948237.0
2022-12-31,0.0,0.2,272477226.0,10256082.0,10256082.0,-269950604.0,131224183.0,358450600.0,272477226.0,141253043.0,-412465480.0,412465480.0,408217.0,-269950604.0,-269950604.0,548364090.0,185564329.0,62705600.0,2879354000.0,2879354000.0,-0.09,-0.09,-269950604.0,-269950604.0,-269950604.0,2054625.0,-272005229.0,,-272005229.0,792792.0,-271212437.0,78547443.0,16186131.0,,,,78547443.0,10256082.0,-412465480.0,412465480.0,408217.0,62705600.0,189913490.0,-26850430.0,216763920.0,26871762.0,189892158.0,189892158.0,252619090.0,358450600.0,611069690.0,611069690.0
2021-12-31,3678996.4,0.2,337607440.0,18394982.0,18394982.0,-224514330.0,119783701.0,328656943.0,356002422.0,236218721.0,-398206095.0,401724916.0,3518821.0,-239230315.6,-224514330.0,574425870.0,151705017.0,-5314825.0,2173250000.0,2173250000.0,-0.1033,-0.1033,-224514330.0,-224514330.0,-224514330.0,-11995500.0,-212518830.0,,-212518830.0,47012635.0,-165506195.0,299076643.0,42666936.0,,,,238014725.0,18394982.0,-398206095.0,401724916.0,3518821.0,-66376743.0,245768927.0,,245768927.0,51940308.0,193828619.0,193828619.0,179392184.0,328656943.0,508049127.0,508049127.0
2020-12-31,550192.3366,0.053432,188424264.0,10297117.0,10297117.0,-309454764.0,118996206.0,253334244.0,198721381.0,79725175.0,-380497114.0,386043388.0,5546274.0,-319201688.6634,-309454764.0,479078596.0,153409938.0,-69293951.0,2147034000.0,2147034000.0,-0.1441,-0.1441,-309454764.0,-309454764.0,-309454764.0,-19503650.0,-289951114.0,0.0,-289951114.0,-16367099.0,-306318213.0,165864332.0,12094363.0,0.0,0.0,0.0,143472852.0,10297117.0,-380497114.0,386043388.0,5546274.0,-91685431.0,225744352.0,,225744352.0,27317579.0,198426773.0,198426773.0,134058921.0,253334244.0,387393165.0,387393165.0
2019-12-31,,,,9973941.0,9973941.0,,,,,,,,7309120.0,,,,,,,,,,,,,,,16947434.0,,,,,11556487.0,-8093528.0,-8093528.0,0.0,,18067469.0,,,7309120.0,,,,,,,,,,,
