,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,6540672.0,0.2,555040980.0,32703360.0,32703360.0,554219232.0,553680449.0,587744340.0,587744340.0,-33525108.0,33525108.0,,528056544.0,554219232.0,706632481.0,436607329.0,489739189.0,489739189.0,1.131662,1.131662,554219232.0,554219232.0,554219232.0,554219232.0,554219232.0,554219232.0,35887294.0,3183934.0,32703360.0,-33525108.0,33525108.0,,551857046.0,152952032.0,,152952032.0,95739117.0,57212915.0,57212915.0,704809078.0,553680449.0,1258489527.0,1258489527.0
2022-12-31,7751355.0,0.2,274278568.0,38756775.0,38756775.0,289228223.0,409033285.0,313035343.0,313035343.0,-23807120.0,23807120.0,,258222803.0,289228223.0,537027978.0,336907630.0,489739189.0,489739189.0,0.590576,0.590576,289228223.0,289228223.0,289228223.0,289228223.0,289228223.0,289228223.0,40787504.0,2030729.0,38756775.0,-23807120.0,23807120.0,,272247839.0,127994693.0,,127994693.0,76929935.0,51064758.0,51064758.0,400242532.0,409033285.0,809275817.0,809275817.0
2021-12-31,0.0,0.0,57677770.0,-36942801.0,-36942801.0,-2555346.0,246963739.0,20734969.0,20734969.0,-23290315.0,23290315.0,1215394.0,34387455.0,-2555346.0,329174554.0,203697048.0,489739189.0,489739189.0,-0.005218,-0.005218,-2555346.0,-2555346.0,-2555346.0,-2555346.0,-2555346.0,-2555346.0,-33294948.0,3647853.0,-36942801.0,-23290315.0,23290315.0,1215394.0,54029917.0,82210815.0,,82210815.0,31906273.0,50304542.0,50304542.0,136240732.0,246963739.0,383204471.0,383204471.0
2020-12-31,-11673670.0,0.2,231288724.0,-58368350.0,-58368350.0,148623465.0,329262233.0,172920374.0,172920374.0,-24296909.0,24296909.0,4028930.0,195318145.0,148623465.0,437079132.0,269062291.0,489739189.0,489739189.0,0.303475,0.303475,148623465.0,148623465.0,148623465.0,148623465.0,148623465.0,148623465.0,-52263115.0,6105235.0,-58368350.0,-24296909.0,24296909.0,4028930.0,225183489.0,107816899.0,,107816899.0,51095752.0,56721147.0,56721147.0,333000388.0,329262233.0,662262621.0,662262621.0
2019-12-31,,,,,,,,,,,,9019957.0,,,,,,,,,,,,,,,,,,,,9019957.0,,,979150.0,,,,,,,,
