,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-33266012.0,0.2,260664017.0,-166330060.0,-166330060.0,78716811.0,42554664.0,94333957.0,94333957.0,-9834731.0,15617146.0,5782415.0,211780859.0,78716811.0,87258660.0,288000000.0,288000000.0,0.273322,0.273322,78716811.0,78716811.0,78716811.0,78716811.0,78716811.0,78716811.0,-176385425.0,-10055365.0,-166330060.0,-9834731.0,15617146.0,5782415.0,264936967.0,44703996.0,42495458.0,2208538.0,309640963.0,42554664.0,352195627.0,352195627.0
2022-12-31,-2106644.2,0.2,185894252.0,-10533221.0,-10533221.0,161674146.0,37557005.0,175361031.0,175361031.0,-10761429.0,13686885.0,2925456.0,170100722.8,161674146.0,141925081.0,288000000.0,288000000.0,0.561369,0.561369,161674146.0,161674146.0,161674146.0,161674146.0,161674146.0,161674146.0,-20235780.0,-9702559.0,-10533221.0,-10761429.0,13686885.0,2925456.0,192671355.0,104368076.0,41486908.0,62881168.0,297039431.0,37557005.0,334596436.0,334596436.0
2021-12-31,0.0,0.0,247105571.0,-296423092.0,-296423092.0,-63256421.0,41739907.0,-49317521.0,-49317521.0,-13763743.0,13938900.0,175157.0,233166671.0,-63256421.0,104975348.0,288000000.0,288000000.0,-0.21964,-0.21964,-63256421.0,-63256421.0,-63256421.0,-63256421.0,-63256421.0,-63256421.0,-305025260.0,-8602168.0,-296423092.0,-13763743.0,13938900.0,175157.0,255532582.0,63235441.0,63235441.0,0.0,318768023.0,41739907.0,360507930.0,360507930.0
2020-12-31,-13627064.4,0.2,248166888.0,-68135322.0,-68135322.0,166555003.0,41140976.0,180031566.0,180031566.0,-13404258.0,13476563.0,72305.0,221063260.6,166555003.0,130163109.0,288000000.0,288000000.0,0.578316,0.578316,166555003.0,166555003.0,166555003.0,166555003.0,166555003.0,166555003.0,-78202860.0,-10067538.0,-68135322.0,-13404258.0,13476563.0,72305.0,258162121.0,89022133.0,89022133.0,,347184254.0,41140976.0,388325230.0,388325230.0
