,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,6945929.4465,0.05,155307320.72,138918588.93,138918588.93,121807138.45,96858545.55,248035322.45,294225909.65,197367364.1,-62600310.63,60269410.48,19575.85,-10165521.0335,93680592.88,377055793.29,199717840.1,758188031.0,758188031.0,0.124,0.124,93680592.88,93680592.88,93680592.88,93680592.88,-28126545.57,121807138.45,15290815.17,137097953.62,153985526.95,15066938.02,137780735.63,137780735.63,1137853.3,-62600310.63,2350476.0,60269410.48,19575.85,45712737.3,129020470.84,,-1273728.87,130294199.71,16829371.84,113464827.87,113464827.87,174733208.14,248035322.45,422768530.59,422768530.59
2022-12-31,337224.818769,0.393066,225025565.5,857934.91,857934.91,28813182.06,124390499.2,209211113.8,225883500.41,101493001.21,-55902084.16,54019685.11,606071.78,28292471.968769,-189892198.26,296011348.33,103981472.04,758188031.0,758188031.0,-0.25,-0.25,-189892198.26,-189892198.26,-189892198.26,-189892198.26,-218705380.32,28813182.06,18660134.04,47473316.1,6269102.81,5411167.9,0.0,0.0,857934.91,-55902084.16,2488470.83,54019685.11,606071.78,97106297.45,86800234.53,-2792114.44,0.0,86800234.53,12575797.04,74224437.49,74224437.49,183906531.98,209211113.8,393117645.78,393117645.78
2021-12-31,28339.458,0.2,-61588506.55,141697.29,141697.29,-190077971.99,137592277.88,480569940.76,-61446809.26,-199039087.14,-37720138.75,37256600.78,1307272.79,-190191329.822,-190077971.99,729266966.99,-197268276.38,758188031.0,758188031.0,-0.25,-0.25,-190077971.99,-190077971.99,-190077971.99,-190077971.99,,-190077971.99,-46217715.93,-236295687.92,6937115.84,6795418.55,141697.29,141697.29,,-37720138.75,1770810.76,37256600.78,1307272.79,-205512665.01,248697026.23,14506682.51,,234190343.72,27286834.52,206903509.2,206903509.2,43184361.22,480569940.76,523754301.98,523754301.98
2020-12-31,0.0,0.2,269257098.42,,,10687634.33,201541333.71,732950955.01,269257098.42,67715764.71,-65758212.61,66031434.88,2355596.14,10687634.33,10687634.33,860644102.09,69798138.58,757692131.0,757692131.0,0.01,0.01,10687634.33,10687634.33,10687634.33,10687634.33,,10687634.33,-9003304.5,1684329.83,13809308.16,13809308.16,,,,-65758212.61,2082373.87,66031434.88,2355596.14,53633234.28,127693147.08,-2808189.09,0.0,130501336.17,22593035.99,107908300.18,107908300.18,181326381.36,732950955.01,914277336.37,914277336.37
2019-12-31,,,,21943363.86,21943363.86,,,,,,,,,,,,,,,,,,,,,,,,,,,748679.25,748679.25,21194684.61,,,,,,,,-1007175.32,,,,,,,,
