,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,409178000.0,0.2,5667293000.0,2045890000.0,2045890000.0,-1072367000.0,4913610000.0,59753436000.0,7713183000.0,2799573000.0,-2765758000.0,2536734000.0,224174000.0,-2709079000.0,-1072367000.0,62783450000.0,,3522279000.0,5279869000.0,5279869000.0,-0.2031,-0.2031,-1072367000.0,-1072367000.0,-1072367000.0,-650831000.0,-421536000.0,-421536000.0,684375000.0,262839000.0,2069848000.0,293466000.0,2263573000.0,2249392000.0,,-131049000.0,116868000.0,-269508000.0,-217683000.0,-2765758000.0,453198000.0,2536734000.0,224174000.0,958749000.0,3030014000.0,-136756000.0,,3166770000.0,42499000.0,3124271000.0,3124271000.0,,3988763000.0,59753436000.0,63742199000.0,63742199000.0
2022-12-31,-2092000.0,0.2,4172741000.0,-10460000.0,-10460000.0,-4758851000.0,5695576000.0,64748556000.0,4162281000.0,-1533295000.0,-2359784000.0,2244360000.0,146457000.0,-4750483000.0,-4758851000.0,68048865000.0,1647673000.0,-143927000.0,5279869000.0,5279869000.0,-0.9013,-0.9013,-4758851000.0,-4758851000.0,-4758851000.0,-283272000.0,-4475579000.0,-4475579000.0,697924000.0,-3777655000.0,-816293000.0,321654000.0,-31827000.0,0.0,,-35762000.0,67589000.0,-1127487000.0,21367000.0,-2359784000.0,261881000.0,2244360000.0,146457000.0,-601578000.0,3300309000.0,-112936000.0,,3413245000.0,37220000.0,3376025000.0,3376025000.0,,2698731000.0,64748556000.0,67447287000.0,67447287000.0
2021-12-31,74257800.0,0.2,7377268000.0,371289000.0,371289000.0,-155619000.0,4670947000.0,53727689000.0,7748557000.0,3077610000.0,-2439545000.0,2371618000.0,122496000.0,-452650200.0,-155619000.0,56438552000.0,1572514000.0,3192552000.0,5279869000.0,5279869000.0,-0.0295,-0.0295,-155619000.0,-155619000.0,-155619000.0,-249715000.0,94096000.0,94096000.0,611896000.0,705992000.0,841613000.0,394843000.0,-106272000.0,70700000.0,,-48528000.0,225500000.0,75481000.0,477561000.0,-2439545000.0,190423000.0,2371618000.0,122496000.0,2303924000.0,2710863000.0,-253510000.0,0.0,2964373000.0,30588000.0,2933785000.0,2933785000.0,,5014787000.0,53727689000.0,58742476000.0,58742476000.0
2020-12-31,-15195600.0,0.2,5484029000.0,-75978000.0,-75978000.0,-1104448000.0,4106011000.0,49824379000.0,5408051000.0,1302040000.0,-2394786000.0,2037342000.0,137749000.0,-1043665600.0,-1104448000.0,52734609000.0,1901359000.0,1779495000.0,5279869000.0,5279869000.0,-0.2092,-0.2092,-1104448000.0,-1104448000.0,-1104448000.0,22838000.0,-1127286000.0,-1127286000.0,391984000.0,-735302000.0,425938000.0,484178000.0,-330127000.0,32546000.0,0.0,-5487000.0,368160000.0,17738000.0,254149000.0,-2394786000.0,495193000.0,2037342000.0,137749000.0,1233546000.0,2910230000.0,-174751000.0,0.0,3084981000.0,59013000.0,3025968000.0,3025968000.0,0.0,4143776000.0,49824379000.0,53968155000.0,53968155000.0
2019-12-31,,,,,,,,,,,,,,,,,2214010000.0,,,,,,,,,,,,,,,,,,2838140000.0,,,,,,,,,,,,93711000.0,,,,,1853775000.0,,,,
