,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4108872.31224,0.146686,95744163.58,28011295.07,28011295.07,87551715.38,11893250.21,477944957.78,123755458.65,111862208.44,-283983.59,283983.59,,63649292.62224,87551715.38,626253418.49,90389005.01,7870000.0,7870000.0,11.12,11.12,87551715.38,87551715.38,87551715.38,-7659516.17,95211231.55,95211231.55,16366993.3,111578224.85,49484498.5,,,,21473203.43,28011295.07,-283983.59,283983.59,,62377709.94,148308460.71,-5753358.36,,154061819.07,154061819.07,154061819.07,,210686170.65,477944957.78,688631128.43,688631128.43
2022-12-31,-481993.305925,0.08056,57570657.54,-5983023.64,-5983023.64,32255132.89,12650793.1,335219394.65,51587633.9,38936840.8,-329379.73,329379.73,,37756163.224075,32255132.89,466472558.69,23096576.4,7870000.0,7870000.0,4.1,4.1,32255132.89,32255132.89,32255132.89,-3242105.17,35497238.06,35497238.06,3110223.01,38607461.07,9857240.76,,,,15840264.4,-5983023.64,-329379.73,329379.73,,29079600.04,131253164.04,-4488774.24,,135741938.28,135741938.28,135741938.28,,160332764.08,335219394.65,495552158.73,495552158.73
2021-12-31,2605718.532265,0.132661,65194891.31,19641916.75,19641916.75,58651623.35,14486931.6,227821705.16,84836808.06,70349876.46,-432328.59,432328.59,,41615425.132265,58651623.35,342185953.98,53180996.48,7870000.0,7870000.0,7.45,7.45,58651623.35,58651623.35,58651623.35,-1990584.82,60642208.17,60642208.17,9275339.7,69917547.87,36810796.73,,0.0,0.0,17168879.98,19641916.75,-432328.59,432328.59,,33539079.73,114364248.82,-8657348.59,,123021597.41,123021597.41,123021597.41,,147903328.55,227821705.16,375725033.71,375725033.71
2020-12-31,4289428.710702,0.185218,84911143.4,23158813.68,23158813.68,75993383.18,12491108.87,400081812.48,108069957.08,95578848.21,-110995.14,110995.14,1147878.27,57123998.210702,75993383.18,532474975.78,63928401.22,7870000.0,7870000.0,9.66,9.66,75993383.18,75993383.18,75993383.18,-1792106.9,77785490.08,77785490.08,17682362.99,95467853.07,39152343.35,,9919097.5,-9919097.5,15993529.67,13239716.18,-110995.14,110995.14,1147878.27,56426504.86,132393163.3,-8776180.53,0.0,141169343.83,141169343.83,141169343.83,0.0,188819668.16,400081812.48,588901480.64,588901480.64
2019-12-31,,,,,,,,,,,,,2386046.64,,,,,,,,,,,,,,,,,,11207081.25,0.0,0.0,,,,,2386046.64,,,,108605.0,,,,12125050.0,,,,
