,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4415545.2741,0.17,376037780.83,25973795.73,25973795.73,314342469.58,87650222.83,1345347730.55,402011576.56,314361353.73,39890568.22,,39890568.22,292784219.1241,314342469.58,1472561592.71,,150000000.0,150000000.0,2.1,2.1,314342469.58,314342469.58,314342469.58,-13079122.9,327421592.48,327421592.48,69114321.96,396535914.44,42283992.49,16310196.76,25973795.73,39890568.22,,39890568.22,314361353.73,127213862.16,127213862.16,50312626.28,76901235.88,76901235.88,441575215.89,1345347730.55,1786922946.44,1786922946.44
2022-12-31,3904030.2364,0.19,397920762.04,20547527.56,20547527.56,311615728.64,91613354.07,1768491637.3,418468289.6,326854935.53,34995338.22,0.0,34995338.22,294972231.3164,311615728.64,1907649657.42,394040306.6,150000000.0,150000000.0,2.08,2.08,311615728.64,311615728.64,311615728.64,-8319024.47,319934753.11,319934753.11,74105553.49,394040306.6,32190032.85,11642505.29,20547527.56,34995338.22,0.0,34995338.22,326854935.53,139158020.12,139158020.12,57861938.89,81296081.23,81296081.23,466012955.65,1768491637.3,2234504592.95,2234504592.95
2021-12-31,2705496.3828,0.18,549316073.03,15030535.46,15030535.46,370036005.99,93480193.16,1683527197.15,564346608.49,470866415.33,32688874.76,40964.39,32729839.15,357710966.9128,370036005.99,1823738027.46,470866415.33,150000000.0,150000000.0,2.47,2.47,370036005.99,370036005.99,370036005.99,-14318366.39,384354372.38,384354372.38,86471078.56,470825450.94,23546054.2,8515518.74,15030535.46,32688874.76,40964.39,32729839.15,414590521.98,140210830.31,140210830.31,59601019.75,80609810.56,80609810.56,554801352.29,1683527197.15,2238328549.44,2238328549.44
2020-12-31,2810121.692,0.17,482822503.3,16530127.6,16530127.6,316477670.06,97665554.15,1219516554.33,499352630.9,401687076.75,24525030.76,189087.11,24714117.87,302757664.152,316477670.06,1357232547.02,,150000000.0,150000000.0,2.11,2.11,316477670.06,316477670.06,316477670.06,-15945220.1,332422890.16,332422890.16,69075099.48,401497989.64,25356055.09,8825927.49,16530127.6,24525030.76,189087.11,24714117.87,351616903.79,137715992.69,137715992.69,51270767.35,86445225.34,86445225.34,489332896.48,1219516554.33,1708849450.81,1708849450.81
2019-12-31,,,,,,,,,,,,238668.5,,,,,,,,,,,,,,,,,,,,,,238668.5,,,,,,,,,,,
