,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,6769191.303483,0.240864,560902720.0,28103836.0,28103836.0,171402949.0,36277983.0,8366227280.0,589006556.0,552728573.0,-317741699.0,326319699.0,8578000.0,150068304.303483,171402949.0,8687309992.0,216107000.0,565946913.0,1318484223.0,1318484223.0,0.13,0.13,171402949.0,171402949.0,171402949.0,-472267.0,171875216.0,171875216.0,54533658.0,226408874.0,114869496.0,99984000.0,31605000.0,,-31605000.0,,,,-13218340.0,-3501164.0,-317741699.0,326319699.0,8578000.0,436087527.0,321082712.0,-30014000.0,-56750000.0,,,,,,407846712.0,407846712.0,407846712.0,,757170239.0,8366227280.0,9123397519.0,9123397519.0
2022-12-31,6548600.0,0.2,44122338.0,32743000.0,32743000.0,-91288652.0,43506598.0,7763264172.0,76865338.0,33358740.0,-184648789.0,190070789.0,5422000.0,-117483052.0,-91288652.0,8151875775.0,237238000.0,44005894.0,1521477533.0,1521477533.0,-0.06,-0.06,-91288652.0,-91288652.0,-91288652.0,-5159527.0,-86129125.0,-86129125.0,-70582924.0,-156712049.0,141438846.0,119343000.0,32743000.0,,-32743000.0,-6250000.0,,,-10647154.0,3302023.0,-184648789.0,190070789.0,5422000.0,-116804193.0,388611603.0,-28888000.0,0.0,37730000.0,37730000.0,17520000.0,17520000.0,20210000.0,417499603.0,417499603.0,417499603.0,295299000.0,271807410.0,7763264172.0,8035071582.0,8035071582.0
2021-12-31,7109130.5496,0.1063,315445628.0,66877992.0,66877992.0,123448846.0,39838233.0,6718815149.0,382323620.0,342485387.0,-193502946.0,198055946.0,4553000.0,63679984.5496,123448846.0,7082078382.0,146968000.0,440222662.0,1361817957.0,1361817957.0,0.09,0.09,123448846.0,123448846.0,123448846.0,-2466118.0,125914964.0,125914964.0,18514477.0,144429441.0,87951717.0,118811000.0,-47133000.0,,9146000.0,37987000.0,,0.0,-97737275.0,114010992.0,-193502946.0,198055946.0,4553000.0,249980094.0,359206000.0,-29754000.0,,35781000.0,35781000.0,15129000.0,15129000.0,20652000.0,353179000.0,353179000.0,50885000.0,302294000.0,609186094.0,6722872382.0,7332058476.0,7332058476.0
2020-12-31,6259660.722,0.2,-237908988.52,31298303.61,31298303.61,-436362549.51,35962220.46,8482320470.26,-206610684.91,-242572905.37,-182340594.78,192682859.18,10342264.4,-461401192.398,-436362549.51,9029300305.68,155585771.23,,1363632967.0,1363632967.0,-0.32,-0.32,-436362549.51,-436362549.51,-436362549.51,872216.34,-437234765.85,-437234765.85,1979001.3,-435255764.55,197232518.65,152200326.17,31298303.61,,-27489311.04,,,-3808992.57,13733888.87,,-182340594.78,192682859.18,10342264.4,-450147688.42,546979835.42,,,,,,,,546979835.42,546979835.42,546979835.42,,96832147.0,8482320470.26,8579152617.26,8579152617.26
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5000000.0,0.0,0.0,,-63764.0,,,,,,,51039260.0,,,,,,,,,,,,,
