,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,15150210.865738,0.151936,6999241136.0,99714750.0,99714750.0,3777542740.0,1176813863.0,18707189336.0,7098955886.0,5922142023.0,584183468.0,6975921.0,591159389.0,3692978200.865738,3777542740.0,22706047338.0,5204686675.0,329704014.0,329704014.0,11.46,11.46,3777542740.0,3777542740.0,3777542740.0,-1238899615.0,5016442355.0,5016442355.0,898723747.0,5915166102.0,373050709.0,147040000.0,10260631.0,10260631.0,,126295959.0,89454119.0,584183468.0,6975921.0,591159389.0,4957931926.0,3998858002.0,3998858002.0,1958459688.0,2040398314.0,2040398314.0,8956789928.0,18707189336.0,27663979264.0,27663979264.0
2022-12-31,29280283.759794,0.135878,5539769093.0,215488896.0,215488896.0,2785919963.0,1167627800.0,18876241590.0,5755257989.0,4587630189.0,417696860.0,3963320.0,421660180.0,2599711350.759794,2785919963.0,22841480806.0,4001799273.0,329704014.0,329704014.0,8.45,8.45,2785919963.0,2785919963.0,2785919963.0,-1174925642.0,3960845605.0,3960845605.0,622821264.0,4583666869.0,525715632.0,146056000.0,12071893.0,12071893.0,0.0,164170736.0,203417003.0,417696860.0,3963320.0,421660180.0,3640253946.0,3965239216.0,3965239216.0,1933648989.0,2031590227.0,2031590227.0,7605493162.0,18876241590.0,26481734752.0,26481734752.0
2021-12-31,27874395.668347,0.126031,6407926229.0,221170712.0,221170712.0,3574644358.0,1219530413.0,16126932039.0,6629096941.0,5409566528.0,335243719.0,2895615.0,338139334.0,3381348041.668347,3574644358.0,20000658553.0,4833698092.0,329704014.0,329704014.0,10.84,10.84,3574644358.0,3574644358.0,3574644358.0,-1150617688.0,4725262046.0,4725262046.0,681408867.0,5406670913.0,615045814.0,156146000.0,64329599.0,11425599.0,52904000.0,237729102.0,156841113.0,335243719.0,2895615.0,338139334.0,4456381259.0,3873726514.0,3873726514.0,1934589992.0,1939136522.0,1939136522.0,8330107773.0,16126932039.0,24457039812.0,24457039812.0
2020-12-31,19875670.347163,0.121397,7032988308.0,163725222.0,163725222.0,4090005921.0,1216062026.0,14849957443.0,7196713530.0,5980651504.0,273070344.0,2831397.0,275901741.0,3946156369.347163,4090005921.0,18461037473.0,5409771185.0,329704014.0,329704014.0,12.41,12.41,4090005921.0,4090005921.0,4090005921.0,-1162127695.0,5252133616.0,5252133616.0,725686491.0,5977820107.0,585308800.0,126605000.0,36949113.0,10173113.0,26776000.0,294978578.0,126776109.0,273070344.0,2831397.0,275901741.0,5119440538.0,3611080030.0,3611080030.0,1749082790.0,1861997240.0,1861997240.0,8730520568.0,14849957443.0,23580478011.0,23580478011.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
