,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-1764802783.8,0.1974,38407589000.0,-8940237000.0,-8940237000.0,-10797942000.0,27697295000.0,476039290000.0,29467352000.0,1770057000.0,-14184590000.0,15367212000.0,1182622000.0,-3622507783.8,-10797942000.0,533877894000.0,572993000.0,5614552000.0,5614552000.0,-2.06,-2.06,-11547942000.0,-11547942000.0,750000000.0,-10797942000.0,115402000.0,-10913344000.0,-10913344000.0,-2683811000.0,-13597155000.0,-6992719000.0,1939235000.0,-8473702000.0,-2253249000.0,0.0,10726951000.0,,8283000.0,-466535000.0,-14184590000.0,15367212000.0,1182622000.0,7580154000.0,57838604000.0,-898632000.0,-6159000.0,,,58743395000.0,28439017000.0,30304378000.0,29729961000.0,,574417000.0,65418758000.0,476039290000.0,541458048000.0,541458048000.0
2022-12-31,-496127232.0,0.144,79765818000.0,-3445328000.0,-3445328000.0,31006084000.0,25721404000.0,544321267000.0,76320490000.0,50599086000.0,-9548432000.0,10495196000.0,946764000.0,33955284768.0,31006084000.0,605137803000.0,49716677000.0,5614552000.0,5614552000.0,5.39,5.39,30256084000.0,30256084000.0,750000000.0,31006084000.0,-3324113000.0,34330197000.0,34330197000.0,5773693000.0,40103890000.0,-1476323000.0,1991766000.0,-4421454000.0,-4223664000.0,0.0,8645118000.0,,-22761000.0,976126000.0,-9548432000.0,10495196000.0,946764000.0,51128645000.0,60816536000.0,-2119923000.0,41594000.0,2468514000.0,2468514000.0,62894865000.0,36701735000.0,26193130000.0,25714269000.0,625385000.0,478861000.0,111945181000.0,544321267000.0,656266448000.0,656266448000.0
2021-12-31,108037135.8,0.1917,63250773000.0,563574000.0,563574000.0,26288027000.0,21736689000.0,363505583000.0,63814347000.0,42077658000.0,-6904918000.0,7120662000.0,215744000.0,25832490135.8,26288027000.0,429634807000.0,41798751000.0,5614552000.0,5614552000.0,4.55,4.55,26288027000.0,26288027000.0,750000000.0,26288027000.0,-1965715000.0,28253742000.0,28253742000.0,6703254000.0,34956996000.0,3388403000.0,2664594000.0,860757000.0,-1150788000.0,0.0,290031000.0,,160235000.0,-297183000.0,-6904918000.0,7120662000.0,215744000.0,38473511000.0,46744962000.0,-695399000.0,97072000.0,2352427000.0,2352427000.0,44990862000.0,26723965000.0,18266897000.0,10289723000.0,1125632000.0,6851542000.0,85218473000.0,382889845000.0,468108318000.0,468108318000.0
2020-12-31,448733800.0,0.2,27474328000.0,2243669000.0,2243669000.0,2414276000.0,20487196000.0,269678755000.0,29717997000.0,9230801000.0,-7481822000.0,7673861000.0,192039000.0,619340800.0,2414276000.0,326949282000.0,9575022000.0,5614552000.0,5614552000.0,0.3,0.3,1665407000.0,1665407000.0,748869000.0,2414276000.0,-385786000.0,2800062000.0,2800062000.0,-1243122000.0,1556940000.0,4475137000.0,2088656000.0,2124228000.0,-942824000.0,54126000.0,624946000.0,-1806350000.0,142812000.0,119441000.0,-7481822000.0,7673861000.0,192039000.0,4563625000.0,39067409000.0,,54126000.0,2284078000.0,2284078000.0,36729205000.0,20134225000.0,16594980000.0,9968576000.0,1027457000.0,5598947000.0,43631034000.0,287881873000.0,331512907000.0,331512907000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-805506000.0,,,,,,,,,,2241430000.0,2241430000.0,,,,,734842000.0,,,,,
