,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.2167,655456246.0,839670602.0,-2850261.0,2850261.0,426791437.0,655456246.0,655456246.0,11717305887.0,59000000.0,59000000.0,11.11,11.11,655456246.0,655456246.0,655456246.0,655456246.0,655456246.0,181364095.0,836820341.0,42438199.0,-2850261.0,2850261.0,759068708.0,806818842.0,806818842.0,806818842.0,12554126228.0,12554126228.0,5665310760.0,5665310760.0,9147605898.0,3482295138.0
2022-12-31,0.0,0.2019,810220037.0,1017742874.0,-2516790.0,2516790.0,409419934.0,810220037.0,810220037.0,10304926550.0,59000000.0,59000000.0,13.73,13.73,810220037.0,810220037.0,810220037.0,810220037.0,810220037.0,205006047.0,1015226084.0,85033806.0,-2516790.0,2516790.0,795079372.0,681189230.0,681189230.0,681189230.0,11320152634.0,11320152634.0,4576037948.0,4576037948.0,12839125640.0,8263087692.0
2021-12-31,0.0,0.210236,767445907.0,974369548.0,-2628141.0,2628141.0,491740560.0,767445907.0,767445907.0,9304430543.0,58988924.0,58988924.0,13.01,13.01,767445907.0,767445907.0,767445907.0,767445907.0,767445907.0,204295500.0,971741407.0,8948247.0,-2628141.0,2628141.0,684809443.0,735017449.0,735017449.0,735017449.0,10276171950.0,10276171950.0,3972287449.0,3972287449.0,9566764025.0,5594476576.0
2020-12-31,0.0,0.213326,590903204.0,753451651.0,-2310114.0,2310114.0,334173832.0,590903204.0,590903204.0,9142336352.0,58972376.0,58972376.0,10.02,10.02,590903204.0,590903204.0,590903204.0,590903204.0,590903204.0,160238333.0,751141537.0,40826776.0,-2310114.0,2310114.0,624425598.0,612699077.0,612699077.0,612699077.0,9893477889.0,9893477889.0,4377440119.0,4377440119.0,7690513679.0,3313073560.0
