,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,24192415.0,,,-116693630.0,104665203.0,469302103.0,24192415.0,-80472788.0,-46007282.0,46007282.0,-116693630.0,-116693630.0,626262299.0,-80472788.0,1111367905.0,1111367905.0,-0.105,-0.105,-116693630.0,-116693630.0,-116693630.0,12939073.0,-129632703.0,,,-129632703.0,3152633.0,-126480070.0,,,,,-46007282.0,46007282.0,-80472788.0,156960196.0,-1640449.0,158600645.0,,,76487408.0,469302103.0,545789511.0,545789511.0
2022-12-31,0.0,0.2,107456084.0,0.0,0.0,2289418.0,76955556.0,341248570.0,107456084.0,30500528.0,-38350676.0,38350676.0,2289418.0,2289418.0,449806494.0,30500528.0,1144709000.0,1144709000.0,0.002,0.002,2289418.0,2289418.0,2289418.0,602505.0,1686913.0,,0.0,1686913.0,-9537061.0,-7850148.0,,,0.0,0.0,-38350676.0,38350676.0,30500528.0,108557924.0,-17109113.0,125667037.0,,,139058452.0,341248570.0,480307022.0,480307022.0
2021-12-31,2671470.0,0.2,115270103.0,13357350.0,13357350.0,29365208.0,73712458.0,325663501.0,128627453.0,54914995.0,-24817946.0,24817946.0,18679328.0,29365208.0,439925570.0,54914995.0,1028261923.0,1028261923.0,0.026,0.026,26734810.0,26734810.0,26734810.0,-2675096.0,29409906.0,-2630398.0,-2630398.0,32040304.0,-1943255.0,30097049.0,13357350.0,,13357350.0,13357350.0,-24817946.0,24817946.0,41557645.0,114262069.0,-6619044.0,120881113.0,,,155819714.0,325663501.0,481483215.0,481483215.0
2020-12-31,0.0,0.2,149241357.0,0.0,0.0,38220601.0,78195542.0,400130466.0,149241357.0,71045815.0,-34360903.0,34360903.0,38220601.0,38220601.0,523646535.0,71045815.0,962069190.0,962069190.0,0.038667,0.038667,37287312.0,37287312.0,37287312.0,-40604.0,37327916.0,-933289.0,-933289.0,38261205.0,-1576293.0,36684912.0,,,0.0,0.0,-34360903.0,34360903.0,71045815.0,123516069.0,-4463046.0,127979115.0,,,194561884.0,400130466.0,594692350.0,594692350.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17007375.0,17007375.0,,,,,,,,,100436744.0,100436744.0,,,,
