,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.1934,966989111.0,,,635784580.0,175498627.0,4298104098.0,966989111.0,791490484.0,-5688960.0,7620960.0,1932000.0,635784580.0,635784580.0,5223101164.0,2532000.0,960000000.0,960000000.0,0.66,0.66,635784580.0,635784580.0,635784580.0,3509917.0,632274663.0,632274663.0,151594861.0,783869524.0,-3192255.0,31643000.0,,,-34835255.0,-5688960.0,7620960.0,1932000.0,792750863.0,924997066.0,924997066.0,694855247.0,230141819.0,230141819.0,1717747929.0,4298104098.0,6015852027.0,6015852027.0
2022-12-31,0.0,0.2114,809372436.0,0.0,0.0,515715235.0,158751199.0,4041677240.0,809372436.0,650621237.0,-1427209.0,1672209.0,245000.0,515715235.0,515715235.0,4927934109.0,1743000.0,960000000.0,960000000.0,0.54,0.54,515715235.0,515715235.0,515715235.0,3938103.0,511777132.0,511777132.0,137171896.0,648949028.0,22166257.0,47586000.0,0.0,0.0,-25419743.0,-1427209.0,1672209.0,245000.0,628210402.0,886256869.0,886256869.0,668888359.0,217368510.0,217368510.0,1514467271.0,4041677240.0,5556144511.0,5556144511.0
2021-12-31,21762610.362748,0.16905,591616856.0,128734589.0,128734589.0,437166736.0,172665045.0,3209059062.0,720351445.0,547686400.0,-40130971.0,40270971.0,140000.0,330194757.362748,437166736.0,3946075112.0,,831780822.0,831780822.0,0.53,0.53,437166736.0,437166736.0,437166736.0,15529996.0,421636740.0,421636740.0,85778689.0,507415429.0,135735974.0,33064000.0,128734589.0,128734589.0,-26062615.0,-40130971.0,40270971.0,140000.0,411809974.0,737016050.0,737016050.0,512553228.0,224462822.0,224462822.0,1148826024.0,3209059062.0,4357885086.0,4357885086.0
2020-12-31,0.0,0.207982,380941221.0,0.0,0.0,93816772.0,206186242.0,3263923590.0,380941221.0,174754979.0,-80900885.0,81095885.0,195000.0,93816772.0,93816772.0,4260913291.0,,960000000.0,960000000.0,0.097726,0.097726,93816772.0,93816772.0,93816772.0,19637048.0,74179724.0,74179724.0,19479370.0,93659094.0,42564000.0,42564000.0,0.0,0.0,0.0,-80900885.0,81095885.0,195000.0,131995667.0,996989701.0,996989701.0,719264706.0,277724995.0,277724995.0,1128985368.0,3263923590.0,4392908958.0,4392908958.0
