,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-4857357.0933,0.0569,419808094.0,-85366557.0,-85366557.0,164610871.0,144339060.0,4724059348.0,334441537.0,190102477.0,-36777494.0,36777494.0,245120070.9067,164610871.0,5501694425.0,190102477.0,477000000.0,477000000.0,0.35,0.35,164610871.0,164610871.0,164610871.0,20012829.0,144598042.0,144598042.0,8726941.0,153324983.0,-85366557.0,,-85366557.0,-36777494.0,36777494.0,275469034.0,777635077.0,-41919601.0,819554678.0,506761820.0,312792858.0,312792858.0,,1053104111.0,4724059348.0,5777163459.0,5777163459.0
2022-12-31,8163803.5941,0.2973,314493409.0,27459817.0,27459817.0,119868639.0,139727314.0,3055041165.0,341953226.0,202225912.0,-10727349.0,10727349.0,100572625.5941,119868639.0,3813264847.0,202225912.0,447000000.0,447000000.0,0.25,0.25,119868639.0,119868639.0,119868639.0,-14694517.0,134563156.0,134563156.0,56935407.0,191498563.0,27459817.0,,27459817.0,-10727349.0,10727349.0,174766095.0,758223682.0,-26888028.0,785111710.0,481530563.0,303581147.0,303581147.0,,932989777.0,3055041165.0,3988030942.0,3988030942.0
2021-12-31,-2919684.4209,0.1007,1806172957.0,-28993887.0,-28993887.0,1415770443.0,137395468.0,3968374139.0,1777179070.0,1639783602.0,-17017075.0,17017075.0,1441844645.5791,1415770443.0,5237816852.0,1639783602.0,477000000.0,477000000.0,2.97,2.97,1415770443.0,1415770443.0,1415770443.0,-43556132.0,1459326575.0,1459326575.0,163439952.0,1622766527.0,-28993887.0,,-28993887.0,-17017075.0,17017075.0,1668777489.0,1269442713.0,-37315028.0,1306757741.0,888836812.0,417920929.0,417920929.0,,2938220202.0,3968374139.0,6906594341.0,6906594341.0
2020-12-31,-4592747.9383,0.0977,1301220961.0,-47008679.0,-47008679.0,954077594.0,131621487.0,2649033374.0,1254212282.0,1122590795.0,-26011095.0,26011095.0,996493525.0617,954077594.0,3082182695.0,1122590795.0,477000000.0,477000000.0,2.0,2.0,954077594.0,954077594.0,954077594.0,-35052912.0,989130506.0,989130506.0,107449194.0,1096579700.0,-47008679.0,,-47008679.0,-26011095.0,26011095.0,1169599474.0,433149321.0,-32093710.0,465243031.0,206684232.0,258558799.0,258558799.0,,1602748795.0,2649033374.0,4251782169.0,4251782169.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50472075.0,,,,,,,,,,,35756641.0,,,,
