,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS
2023-12-31,3367107000.0,3367107000.0,12.93,12.93
2022-12-31,3376865000.0,3376865000.0,11.12,11.12
2021-12-31,3399193000.0,3399193000.0,10.47,10.47
2020-12-31,3399000000.0,3399000000.0,8.01,8.01
