,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.189082,93095463.0,61780636.0,10356820.0,1792204532.0,93095463.0,82738643.0,-80757.0,6552619.0,6471862.0,61780636.0,61780636.0,1868542173.0,76266781.0,760000000.0,760000000.0,0.08,0.08,61780636.0,61780636.0,61780636.0,61780636.0,61780636.0,14405388.0,76186024.0,,,-80757.0,6552619.0,6471862.0,76266781.0,76337641.0,-16898782.0,93236423.0,25277205.0,67959218.0,67959218.0,152604422.0,1792204532.0,1944808954.0,1944808954.0
2022-12-31,0.0,0.19998,196798631.0,149468916.0,8083014.0,1618292013.0,196798631.0,188715617.0,-444621.0,1884143.0,1439522.0,149468916.0,149468916.0,1698460962.0,187276095.0,760000000.0,760000000.0,0.2,0.2,149468916.0,149468916.0,149468916.0,149468916.0,149468916.0,37362558.0,186831474.0,,,-444621.0,1884143.0,1439522.0,187276095.0,80168949.0,-5439006.0,85607955.0,25509821.0,60098134.0,60098134.0,267445044.0,1618292013.0,1885737057.0,1885737057.0
2021-12-31,0.0,0.2,277749106.0,217042079.0,6167319.0,1804960934.0,277749106.0,271581787.0,5512739.0,184587.0,5697326.0,217042079.0,217042079.0,1881187270.0,265884461.0,760000000.0,760000000.0,0.29,0.29,217042079.0,217042079.0,217042079.0,217042079.0,217042079.0,54355121.0,271397200.0,,,5512739.0,184587.0,5697326.0,265884461.0,76226336.0,-3300913.0,79527249.0,22637302.0,56889947.0,56889947.0,342110797.0,1804960934.0,2147071731.0,2147071731.0
2020-12-31,0.0,0.2,115518972.0,88172467.0,4998487.0,1094776118.0,115518972.0,110520485.0,2700406.0,227988.0,2928394.0,88172467.0,88172467.0,1173519540.0,107592091.0,530492000.0,530492000.0,0.17,0.17,88172467.0,88172467.0,88172467.0,88172467.0,88172467.0,22120030.0,110292497.0,700272.0,700272.0,2700406.0,227988.0,2928394.0,107592091.0,78743422.0,-700272.0,79443694.0,27752720.0,51690974.0,51690974.0,186335513.0,1094776118.0,1281111631.0,1281111631.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,984101.0,984101.0,,,,,,,,,,,,,,
