,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-1917200.395,0.055,2104690616.0,-34858189.0,-34858189.0,1072511099.0,758916647.0,4800411041.0,2069832427.0,1310915780.0,-190236924.0,177902077.0,4297721.0,1105452087.605,1072511099.0,5245202151.0,71222674.0,10075634360.0,10075634360.0,0.11,0.11,1072511099.0,1072511099.0,1072511099.0,299121.0,1072211978.0,1072211978.0,60801725.0,1133013703.0,-14253230.0,20604959.0,0.0,0.0,,,-34858189.0,-190236924.0,16632568.0,177902077.0,4297721.0,1337503857.0,444791110.0,,444791110.0,444791110.0,444791110.0,1782294967.0,4800411041.0,6582706008.0,6471914943.0
2022-12-31,3763443.748,0.068,2165341966.0,55344761.0,55344761.0,1281979746.0,729545880.0,5044330280.0,2220686727.0,1491140847.0,-129986664.0,116945983.0,2105813.0,1230398428.748,1281979746.0,5482490482.0,64688147.0,10168631105.0,10168631105.0,0.13,0.13,1281979746.0,1281979746.0,1281979746.0,548992.0,1281430754.0,1281430754.0,92764110.0,1374194864.0,69658205.0,14313444.0,132269.0,132269.0,,,55212492.0,-129986664.0,15146494.0,116945983.0,2105813.0,1434523323.0,438160202.0,,438160202.0,438160202.0,438160202.0,1872683525.0,5044330280.0,6917013805.0,6793393105.0
2021-12-31,10755478.72,0.064,2234612796.0,168054355.0,168054355.0,1505680618.0,667204810.0,3807969251.0,2402667151.0,1735462341.0,-139712151.0,127527579.0,1661311.0,1348381741.72,1505680618.0,4158318883.0,,10175999960.0,10175999960.0,0.15,0.15,1505680618.0,1505680618.0,1505680618.0,262974.0,1505417644.0,1505417644.0,102517118.0,1607934762.0,179044999.0,10990644.0,0.0,0.0,,0.0,168054355.0,-139712151.0,13845883.0,127527579.0,1661311.0,1568601914.0,350349632.0,,350349632.0,350349632.0,350349632.0,1918951546.0,3807969251.0,5726920797.0,5594937789.0
2020-12-31,4979430.673243,0.027483,2005294318.0,181180464.0,181180464.0,1507640732.0,541390434.0,4066812246.0,2186474782.0,1645084348.0,-104789149.0,94837779.0,1530609.0,1331439698.673243,1507640732.0,4388283424.0,,10175999960.0,10175999960.0,0.15,0.15,1507640732.0,1507640732.0,1507640732.0,0.0,1507640732.0,1507640732.0,42605837.0,1550246569.0,185175846.0,3995382.0,174206849.0,81237.0,-171947538.0,-2178074.0,6973615.0,-104789149.0,11481979.0,94837779.0,1530609.0,1469859872.0,321471178.0,-783612.0,322254790.0,322254790.0,322254790.0,1791331050.0,4066812246.0,5858143296.0,5729520749.0
2019-12-31,,,,,,,,,,,,,,,,,47701559.0,,,,,,,,,,,,,,,,,-23949976.0,0.0,,,,,,,,-153949.0,,,,,,,
