,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.193457,211194012.0,122786163.0,39883655.0,1893824896.0,211194012.0,171310357.0,-2364110.0,5039992.0,2675882.0,122786163.0,122786163.0,2046109002.0,133542690.0,168634475.0,310066068.0,310066068.0,0.396,0.396,122786163.0,122786163.0,122786163.0,-11318014.0,134104177.0,134104177.0,32166188.0,166270365.0,,,-2364110.0,5039992.0,2675882.0,168634475.0,152284106.0,-8301004.0,160585110.0,160585110.0,160585110.0,320918581.0,1893824896.0,2214743477.0,2214743477.0
2022-12-31,0.0,0.2,129893454.0,47363437.0,43056445.0,1321192617.0,129893454.0,86837009.0,36480.0,1168063.0,1204543.0,47363437.0,47363437.0,1496921690.0,26026596.0,85632466.0,309564948.0,309564948.0,0.153,0.153,47363437.0,47363437.0,47363437.0,-2617763.0,49981200.0,49981200.0,35687746.0,85668946.0,,,36480.0,1168063.0,1204543.0,85632466.0,175729073.0,-9267845.0,184996918.0,184996918.0,184996918.0,261361539.0,1321192617.0,1582554156.0,1582554156.0
2021-12-31,0.0,0.037534,427245076.0,341517481.0,57373713.0,2026108543.0,427245076.0,369871363.0,1400045.0,399691.0,1799736.0,341517481.0,341517481.0,2184339822.0,85402447.0,368071627.0,309906970.0,309906970.0,1.102,1.102,341517481.0,341517481.0,341517481.0,-14086333.0,355603814.0,355603814.0,13867858.0,369471672.0,,,1400045.0,399691.0,1799736.0,368071627.0,158231279.0,-10629762.0,168861041.0,168861041.0,168861041.0,526302906.0,2026108543.0,2552411449.0,2552411449.0
2020-12-31,0.0,0.074209,216579156.0,142244670.0,53782953.0,1299677836.0,216579156.0,162796203.0,3476368.0,357065.0,3833433.0,142244670.0,142244670.0,1492061755.0,32195255.0,158962770.0,309901242.0,309901242.0,0.459,0.459,142244670.0,142244670.0,142244670.0,-8140058.0,150384728.0,150384728.0,12054410.0,162439138.0,,,3476368.0,357065.0,3833433.0,158962770.0,192383919.0,-4858673.0,197242592.0,197242592.0,197242592.0,351346689.0,1299677836.0,1651024525.0,1651024525.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14257013.0,14257013.0,,,,,,,,,,,,,
