,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-37725.628902,0.009432,56389856.0,-3999570.0,-3999570.0,-108509564.0,108761102.0,2474575794.0,52390286.0,-56370816.0,-53172002.0,53172002.0,-104547719.628902,-108509564.0,2569574124.0,-56370816.0,99902123.0,99902123.0,-1.09,-1.09,-108509564.0,-108509564.0,-108509564.0,-108509564.0,-108509564.0,-1033254.0,-109542818.0,3443182.0,7442752.0,,,-3999570.0,-53172002.0,53172002.0,-59813998.0,94998330.0,94998330.0,39818366.0,55179964.0,55179964.0,35184332.0,2474575794.0,2509760126.0,2509760126.0
2022-12-31,-974987.19298,0.031582,105192113.0,-30871598.0,-30871598.0,-58793270.0,96701596.0,3658194014.0,74320515.0,-22381081.0,-38329553.0,38329553.0,-28896659.19298,-58793270.0,3754343389.0,-22381081.0,99902123.0,99902123.0,-0.59,-0.59,-58793270.0,-58793270.0,-58793270.0,-58793270.0,-58793270.0,-1917364.0,-60710634.0,-22794733.0,8076865.0,,,-30871598.0,-38329553.0,38329553.0,413652.0,96149375.0,96149375.0,41131608.0,55017767.0,55017767.0,96563027.0,3658194014.0,3754757041.0,3754757041.0
2021-12-31,-3998039.0,0.2,133434040.0,-19990195.0,-19990195.0,3873521.0,94110554.0,2458696412.0,113443845.0,19333291.0,-16488392.0,16488392.0,19865677.0,3873521.0,2544452673.0,19333291.0,99902123.0,99902123.0,0.04,0.04,3873521.0,3873521.0,3873521.0,3873521.0,3873521.0,-1028622.0,2844899.0,-12036859.0,7953336.0,,,-19990195.0,-16488392.0,16488392.0,31370150.0,85756261.0,85756261.0,33899622.0,51856639.0,51856639.0,117126411.0,2458696412.0,2575822823.0,2575822823.0
2020-12-31,2565181.2,0.2,-36834239.0,12825906.0,12825906.0,-138205630.0,99526986.0,1095847180.0,-24008333.0,-123535319.0,-13995797.0,13995797.0,-148466354.8,-138205630.0,1163661035.0,-123535319.0,99902123.0,99902123.0,-1.38,-1.38,-138205630.0,-138205630.0,-138205630.0,-138205630.0,-138205630.0,674514.0,-137531116.0,19768780.0,6942874.0,,,12825906.0,-13995797.0,13995797.0,-143304099.0,67813855.0,67813855.0,18509738.0,49304117.0,49304117.0,-75490244.0,1095847180.0,1020356936.0,1020356936.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34222.0,34222.0,,,,,,,,,,,,,
