,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,21039549.743862,0.2106,1029764252.44,99902895.27,99902895.27,217754580.27,496504784.24,3913944512.66,1129667147.71,633162363.47,-148165725.11,148165725.11,,138891234.743862,217754580.27,4547568892.53,618031409.97,4046138699.0,4046138699.0,0.05,0.05,217754580.27,217754580.27,217754580.27,-165102306.11,382856886.38,382856886.38,102139751.98,484996638.36,115033848.77,78716436.1,15130953.5,99902895.27,-148165725.11,148165725.11,,518128514.7,633624379.87,-78716436.1,712340815.97,712340815.97,712340815.97,1151752894.57,3913944512.66,5065697407.23,5065697407.23
2022-12-31,21240509.189416,0.1811,1306597575.47,117286080.56,117286080.56,503855419.83,469292139.13,3792233576.66,1423883656.03,954591516.9,-119119641.32,119119641.32,,407809848.459416,503855419.83,4385590714.62,936555567.64,4023125000.0,4023125000.0,0.13,0.13,503855419.83,503855419.83,503855419.83,-180307755.89,684163175.72,684163175.72,151308699.86,835471875.58,135322029.82,64484776.63,18035949.26,117286080.56,-119119641.32,119119641.32,,819269487.08,593357137.96,-64484776.63,657841914.59,657841914.59,657841914.59,1412626625.04,3792233576.66,5204860201.7,5204860201.7
2021-12-31,11376651.11072,0.1715,820298845.09,66336158.08,66336158.08,292085110.67,346529276.58,3255075596.55,886635003.17,540105726.59,-86036978.0,86036978.0,1942731.8,237125603.70072,292085110.67,3730830854.36,528155265.14,4023125000.0,4023125000.0,0.07,0.07,292085110.67,292085110.67,292085110.67,-84091278.56,376176389.23,376176389.23,77892359.36,454068748.59,78286619.53,52801045.72,11950461.45,66336158.08,-86036978.0,86036978.0,1942731.8,461819107.06,475755257.81,-52801045.72,528556303.53,528556303.53,528556303.53,937574364.87,3255075596.55,4192649961.42,4192649961.42
2020-12-31,14077682.13908,0.217,600290090.28,64874111.24,64874111.24,198108796.7,278306993.06,2861219192.67,665164201.52,386857208.46,-70988038.24,75760109.8,4772071.56,147312367.59908,198108796.7,3351895683.1,385727388.45,4023125000.0,4023125000.0,0.05,0.05,198108796.7,198108796.7,198108796.7,-45469459.04,243578255.74,243578255.74,67518842.92,311097098.66,66003931.25,46738455.28,1129820.01,64874111.24,-70988038.24,75760109.8,4772071.56,316081205.65,490676490.43,-46738455.28,537414945.71,537414945.71,537414945.71,806757696.08,2861219192.67,3667976888.75,3667976888.75
2019-12-31,,,,,,,,,,,,,5694233.64,,,,,,,,,,,,,,,,,,,,,,,5694233.64,,,,,,,,,,
