,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,604344395.41399,0.365575,39599464888.0,1653135832.0,1653135832.0,5407055045.0,20399901260.0,82727965282.0,41252600720.0,20852699460.0,-9891682177.0,11256656231.0,1364974054.0,4358263608.41399,5407055045.0,130960570955.0,9015536691.0,5479000000.0,5475000000.0,0.65,0.65,3582000000.0,3582000000.0,1825000000.0,5407055045.0,-680918955.0,6087974000.0,6087974000.0,3508069229.0,9596043229.0,4023642370.0,1790000000.0,168000000.0,168000000.0,0.0,,,580506538.0,1485135832.0,-9891682177.0,11256656231.0,1364974054.0,18378929682.0,48232605673.0,-353000000.0,-6000000.0,48591605673.0,26792636249.0,21798969424.0,21798969424.0,66611535355.0,82727965282.0,149339500637.0,149339500637.0
2022-12-31,-293939959.633142,0.347447,36054107713.0,-845999030.0,-845999030.0,4286372692.0,19274638782.0,69854315530.0,35208108683.0,15933469901.0,-8137564099.0,9002721229.0,865157130.0,4838431762.366858,4286372692.0,110427509510.0,6795245209.0,5314000000.0,5249000000.0,0.53,0.54,2828000000.0,2828000000.0,1458000000.0,4286372692.0,-236307043.0,4522679735.0,4522679735.0,2408068937.0,6930748672.0,396504433.0,1107000000.0,687000000.0,602000000.0,85000000.0,-85000000.0,,135503463.0,-1532999030.0,-8137564099.0,9002721229.0,865157130.0,11602152225.0,40573193980.0,-1614000000.0,-2000000.0,42189193980.0,22968714820.0,19220479160.0,19220479160.0,52175346205.0,69854315530.0,122029661735.0,122029661735.0
2021-12-31,498030877.882697,0.204228,8675780245.0,2438602826.0,2438602826.0,-13166507779.0,19941762340.0,47417151233.0,11114383071.0,-8827379269.0,-8352088299.0,8985975403.0,633887104.0,-15107079727.117304,-13166507779.0,82788022888.0,-17604629914.0,5263000000.0,5196000000.0,-2.83,-2.83,-14713000000.0,-14713000000.0,1546000000.0,-13166507779.0,1008861826.0,-14175369605.0,-14175369605.0,-3637985067.0,-17813354672.0,3845878068.0,1616000000.0,969000000.0,969000000.0,0.0,,,-208724758.0,1469602826.0,-8352088299.0,8985975403.0,633887104.0,-13307063340.0,35370871655.0,-3505000000.0,-6000000.0,38881871655.0,17179466585.0,21702405070.0,21702405070.0,22063808315.0,47417151233.0,69480959548.0,69480959548.0
2020-12-31,-55052184.681561,0.097235,1111270853.0,-566178241.0,-566178241.0,-21407335947.0,18241204124.0,47253980550.0,545092612.0,-17696111512.0,-6876142944.0,7452436707.0,576293763.0,-20896209890.68156,-21407335947.0,75017738336.0,-24684646569.0,4857562529.0,4857562529.0,-4.71,-4.71,-21407335947.0,-21407335947.0,1460595046.0,-21407335947.0,1295900141.0,-22703236088.0,-22703236088.0,-2445312131.0,-25148548219.0,791356643.0,1821436534.0,58335154.0,58335154.0,,,,-463901650.0,-624513395.0,-6876142944.0,7452436707.0,576293763.0,-19063761918.0,27763757786.0,-260351729.0,-24539757.0,28048649272.0,15571714309.0,12476934963.0,12476934963.0,8699995868.0,47253980550.0,55953976418.0,55953976418.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
