,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,3326745.739125,0.136264,2329601744.0,24414000.0,24414000.0,1707770577.0,375429620.0,4033110508.0,2354015744.0,1978586124.0,104212000.0,1396000.0,105608000.0,1686683322.739125,1707770577.0,5731406554.0,1866272616.0,450000000.0,450000000.0,3.8,3.8,1707770577.0,1707770577.0,1707770577.0,1707770577.0,1707770577.0,269419547.0,1977190124.0,63941985.0,32822000.0,6705985.0,24414000.0,104212000.0,1396000.0,105608000.0,1809036233.0,1698296046.0,1698296046.0,1441808342.0,256487704.0,256487704.0,3507332279.0,4033110508.0,7540442787.0,7540442787.0
2022-12-31,2013126.499727,0.123938,2312089627.0,16243000.0,16243000.0,1706972649.0,378981403.0,4048934615.0,2328332627.0,1949351224.0,54891000.0,890000.0,55781000.0,1692742775.499727,1706972649.0,5684179970.0,1886788639.0,450000000.0,450000000.0,3.79,3.79,1706972649.0,1706972649.0,1706972649.0,1706972649.0,1706972649.0,241488575.0,1948461224.0,48890244.0,25866000.0,6781244.0,16243000.0,54891000.0,890000.0,55781000.0,1844679680.0,1635245355.0,1635245355.0,1368588902.0,266656453.0,266656453.0,3479925035.0,4048934615.0,7528859650.0,7528859650.0
2021-12-31,2048263.193297,0.112492,2309475464.0,18208000.0,18208000.0,1687673643.0,425423458.0,3773531275.0,2327683464.0,1902260006.0,45238000.0,672000.0,45910000.0,1671513906.193297,1687673643.0,5354515894.0,1853096600.0,450000000.0,450000000.0,3.75,3.75,1687673643.0,1687673643.0,1687673643.0,1687673643.0,1687673643.0,213914363.0,1901588006.0,50927972.0,29467000.0,3252972.0,18208000.0,45238000.0,672000.0,45910000.0,1805421405.0,1580984619.0,1580984619.0,1335448332.0,245536287.0,245536287.0,3386406024.0,3773531275.0,7159937299.0,7159937299.0
2020-12-31,1785139.209027,0.115111,2375139329.0,15508000.0,15508000.0,1678665276.0,492803775.0,3742851643.0,2390647329.0,1897843554.0,59598000.0,809000.0,60407000.0,1664942415.209027,1678665276.0,5351943545.0,1833993192.0,450000000.0,450000000.0,3.73,3.73,1678665276.0,1678665276.0,1678665276.0,1678665276.0,1678665276.0,218369278.0,1897034554.0,45902563.0,26952000.0,3442563.0,15508000.0,59598000.0,809000.0,60407000.0,1791533546.0,1609091902.0,1609091902.0,1358029840.0,251062062.0,251062062.0,3400625448.0,3742851643.0,7143477091.0,7143477091.0
