,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income From Tax Loss Carryforward,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2023-12-31,-195120477.0,0.207,-942611000.0,-942611000.0,923108000.0,63054000.0,5234555000.0,878290000.0,6112845000.0,1670598523.0,923108000.0,6636360720.0,6636360720.0,0.137255,0.137255,904309000.0,904309000.0,904309000.0,-35516000.0,958624000.0,-18799000.0,958624000.0,250241000.0,1208865000.0,-238164000.0,238164000.0,,-607000.0,63055000.0,63055000.0,2720654000.0,1340936000.0,1379718000.0,441785000.0,937933000.0,5529027000.0,5529027000.0,,15240000.0,219724000.0
2022-12-31,-34098512.0,0.1708,-199640000.0,-199640000.0,660607000.0,60142000.0,2678787000.0,394674000.0,3073461000.0,826148488.0,660607000.0,3995538900.0,3995538900.0,0.156863,0.156863,660607000.0,660607000.0,660607000.0,-476388000.0,1134594000.0,0.0,1134594000.0,233635000.0,1368229000.0,-24888000.0,24888000.0,,-656000.0,60139000.0,60139000.0,1502822000.0,396406000.0,1106416000.0,251943000.0,854473000.0,3157172000.0,3157172000.0,,7513000.0,156341000.0
2021-12-31,-19785033.0,0.201,-98433000.0,-98433000.0,913182000.0,56482000.0,2031354000.0,204416000.0,2235770000.0,991829967.0,913182000.0,2811359700.0,2811359700.0,0.32549,0.32549,913182000.0,913182000.0,913182000.0,-291477000.0,1204659000.0,,1204659000.0,302585000.0,1507244000.0,-22599000.0,22599000.0,1672803.0,0.0,56482000.0,56482000.0,479070000.0,115569000.0,363501000.0,50160000.0,313341000.0,2284587000.0,2284587000.0,52114454.0,272638000.0,99438000.0
2020-12-31,-10545447.1968,0.1998,-52780016.0,-52780016.0,1567193298.0,44727742.0,3201402015.0,221046984.0,3422448999.0,1609427866.8032,1567193298.0,2811360929.0,2811360929.0,0.556863,0.556863,1567193298.0,1567193298.0,1567193298.0,,1567193298.0,,1567193298.0,391412609.0,1958605907.0,5266304.0,,-5266304.0,72091266.0,,,415274485.0,1438432.0,415274485.0,,415274485.0,2464361165.0,2464361165.0,50184515.0,,183942934.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,11133791.0,,,,,,,,,,,56609264.0,,
