,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,125531725.6,0.2,1228311892.0,627658628.0,627658628.0,1576926569.0,66428250.0,1855970520.0,1855970520.0,-279043951.0,279043951.0,1074799666.6,1576926569.0,97145084.0,33366360.0,1048919900.0,1048919900.0,1.503381,1.503381,1576926569.0,1576926569.0,1576926569.0,1576926569.0,1576926569.0,1576926569.0,629000684.0,1342056.0,627658628.0,-279043951.0,279043951.0,1226969836.0,30716834.0,30716834.0,30716834.0,30716834.0,1257686670.0,66428250.0,1324114920.0,1324114920.0
2022-12-31,58903746.4,0.2,611848641.0,294518732.0,294518732.0,711268769.0,61383777.0,906367373.0,906367373.0,-195098604.0,195098604.0,475653783.4,711268769.0,64260554.0,37698258.0,554643231.0,554643231.0,1.28239,1.28239,711268769.0,711268769.0,711268769.0,711268769.0,711268769.0,711268769.0,296880079.0,2361347.0,294518732.0,-195098604.0,195098604.0,609487294.0,2876777.0,2876777.0,2876777.0,2876777.0,612364071.0,61383777.0,673747848.0,673747848.0
2021-12-31,0.0,0.0,-4851377.0,-248526687.0,-248526687.0,-437023750.0,20775061.0,-253378064.0,-253378064.0,-183645686.0,183645686.0,-188497063.0,-437023750.0,24488154.0,3355214.0,554643231.0,554643231.0,-0.787937,-0.787937,-437023750.0,-437023750.0,-437023750.0,-437023750.0,-437023750.0,-437023750.0,-248156996.0,369691.0,-248526687.0,-183645686.0,183645686.0,-5221068.0,3713093.0,3713093.0,3713093.0,3713093.0,-1507975.0,20775061.0,19267086.0,19267086.0
2020-12-31,0.0,0.0,154160215.0,-456063780.0,-456063780.0,-484970189.0,28645850.0,-301903565.0,-301903565.0,-183066624.0,183066624.0,-28906409.0,-484970189.0,33213909.0,4060289.0,554643231.0,554643231.0,-0.874382,-0.874382,-484970189.0,-484970189.0,-484970189.0,-484970189.0,-484970189.0,-484970189.0,-455795556.0,268224.0,-456063780.0,-183066624.0,183066624.0,153891991.0,4568059.0,4568059.0,4568059.0,4568059.0,158460050.0,28645850.0,187105900.0,187105900.0
