,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.0,-116931574.0,,,-272378631.0,113002424.0,1529953603.0,-116931574.0,-229933998.0,-42582832.0,42582832.0,,-272378631.0,-272378631.0,1794586929.0,4719457740.0,4719457740.0,-0.0577,-0.0577,-272378631.0,-272378631.0,-272378631.0,138199.0,-272516830.0,-272516830.0,0.0,-272516830.0,6982916.0,6982916.0,,,,-42582832.0,42582832.0,,-236916914.0,264633326.0,,-2915403.0,267548729.0,60008801.0,207539928.0,207539928.0,27716412.0,1529953603.0,1557670015.0,1557670015.0
2022-12-31,0.0,0.0,176452584.0,,,23394605.0,110666473.0,1549159807.0,176452584.0,65786111.0,-42532524.0,42532524.0,,23394605.0,23394605.0,1825471757.0,4719457066.0,4719457066.0,0.005,0.005,23394605.0,23394605.0,23394605.0,141018.0,23253587.0,23253587.0,0.0,23253587.0,6671502.0,6671502.0,,,,-42532524.0,42532524.0,,59114609.0,276311950.0,,6691589.0,269620361.0,54347396.0,215272965.0,215272965.0,335426559.0,1549159807.0,1884586366.0,1884586366.0
2021-12-31,0.0,0.2,225380343.0,921924.0,921924.0,84285044.0,104150590.0,1390312256.0,225380343.0,121229753.0,-41613729.0,41613729.0,17788.0,84285044.0,84285044.0,1662551410.0,4719457066.0,4719457066.0,0.0179,0.0179,84285044.0,84285044.0,84285044.0,113427.0,84171617.0,84171617.0,-4555593.0,79616024.0,5137657.0,5137657.0,897194.0,897194.0,24730.0,-41613729.0,41613729.0,17788.0,116092096.0,272239154.0,,,272239154.0,55085687.0,217153467.0,217153467.0,388331250.0,1390312256.0,1778643506.0,1778643506.0
2020-12-31,0.0,0.0,86839445.0,147005.0,147005.0,-58373290.0,102962561.0,1376172097.0,86986450.0,-15976111.0,-42513964.0,42525407.0,11443.0,-58520295.0,-58373290.0,1601072958.0,4719457066.0,4719457066.0,-0.0124,-0.0124,-58373290.0,-58373290.0,-58373290.0,128228.0,-58501518.0,-58501518.0,0.0,-58501518.0,1986834.0,1839829.0,16523.0,16523.0,130482.0,-42513964.0,42525407.0,11443.0,-17974388.0,224900861.0,,,224900861.0,46082095.0,178818766.0,178818766.0,206926473.0,1376172097.0,1583098570.0,1583098570.0
2019-12-31,,,,218900.0,218900.0,,,,,,,,48517.0,,,,,,,,,,,,,,,,,,0.0,0.0,218900.0,,,48517.0,,,-2018355.0,,,,,,,,,
