,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.203315,291462592.0,30279196.0,184038415.0,2414484697.0,291462592.0,107424177.0,-68130264.0,69417681.0,1287417.0,30279196.0,30279196.0,2538643795.0,106136760.0,1000000000.0,1000000000.0,0.03,0.03,30279196.0,30279196.0,30279196.0,30279196.0,30279196.0,7727300.0,38006496.0,,,-68130264.0,69417681.0,1287417.0,106136760.0,124159098.0,-34392083.0,158551181.0,29526178.0,129025003.0,129025003.0,230295858.0,2414484697.0,2644780555.0,2644780555.0
2022-12-31,0.0,0.162979,124657286.0,-75959718.0,170232294.0,1928638699.0,124657286.0,-45575008.0,-45138304.0,45175018.0,36714.0,-75959718.0,-75959718.0,2075354269.0,-45611722.0,1000000000.0,1000000000.0,-0.076,-0.076,-75959718.0,-75959718.0,-75959718.0,-75959718.0,-75959718.0,-14790308.0,-90750026.0,,,-45138304.0,45175018.0,36714.0,-45611722.0,146715570.0,-1589103.0,148304673.0,17949223.0,130355450.0,130355450.0,101103848.0,1928638699.0,2029742547.0,2029742547.0
2021-12-31,0.0,0.203966,134299039.0,-58415432.0,170904521.0,2142485971.0,134299039.0,-36605482.0,-36738524.0,36777569.0,39045.0,-58415432.0,-58415432.0,2243941153.0,-36644527.0,1000000000.0,1000000000.0,-0.058,-0.058,-58415432.0,-58415432.0,-58415432.0,-58415432.0,-58415432.0,-14967619.0,-73383051.0,,,-36738524.0,36777569.0,39045.0,-36644527.0,101455182.0,-597181.0,102052363.0,20566994.0,81485369.0,81485369.0,64810655.0,2142485971.0,2207296626.0,2207296626.0
2020-12-31,0.0,0.079605,292565025.0,70173397.0,176263417.0,2206705284.0,292565025.0,116301608.0,-40013187.0,40058921.0,45734.0,70173397.0,70173397.0,2289735210.0,116255874.0,1000000000.0,1000000000.0,0.07,0.07,70173397.0,70173397.0,70173397.0,70173397.0,70173397.0,6069290.0,76242687.0,,,-40013187.0,40058921.0,45734.0,116255874.0,83029926.0,-2613214.0,85643140.0,15963822.0,69679318.0,69679318.0,199285800.0,2206705284.0,2405991084.0,2405991084.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,43223562.0,43223562.0,,,,,,,,,,,,,,
